OBJECTID,FeatureID,NbrhdID,DevName,DevType,DevPhase,PlatDate,PathToPlatGeo,PathToPlatNotGeo,PathToPlatGeoWeb,PathToPlatNotGeoWeb,PlatType,Comments,GlobalID,created_date,last_edited_date,Shape__Area,Shape__Length
119,NP100169,SA100293,Hillbrooke,Subdivision,Phase 4,1991-09-06T00:00:00.000Z,P:\Hillbrooke\plat_geo\Unit4_19910906.tif,X:\Records\Plats\Hillbrooke\Final\Unit 4 19910906.tif,http:\\gis.johnscreekga.gov\docs\Hillbrooke\plat_geo\Unit4_19910906.tif,http://gis.johnscreekga.gov/docs_records/Plats/Hillbrooke/Final/Unit 4 19910906.tif,Final,,7d169d45-68a3-4151-b61e-6b0bd5d58633,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,47191.8203125,2131.6442992517
120,NP100170,SA100449,Windgate,Subdivision,Unit 1,1993-12-17T00:00:00.000Z,P:\Windgate\plat_geo\Unit1_19931217.tif,X:\Records\Plats\Windgate\Final\Unit1_19931217.tif,http:\\gis.johnscreekga.gov\docs\Windgate\plat_geo\Unit1_19931217.tif,http://gis.johnscreekga.gov/docs_records/Plats/Windgate/Final/Unit1_19931217.tif,Final,,bd0c8b85-c662-4ef2-9799-818ec406286a,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,109867.72265625,3951.6209317739
121,NP100171,SA100449,Windgate,Subdivision,Unit 2,1989-02-10T00:00:00.000Z,P:\Windgate\plat_geo\Unit2_19890210.tif,X:\Records\Plats\Windgate\Final\Unit2_19890210.tif,http:\\gis.johnscreekga.gov\docs\Windgate\plat_geo\Unit2_19890210.tif,http://gis.johnscreekga.gov/docs_records/Plats/Windgate/Final/Unit2_19890210.tif,Final,,3bf56d78-b69f-4efc-8d45-c28333f8671d,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,55570.83984375,2280.53107697276
122,NP100175,SA100449,Windgate,Subdivision,Unit 3A,1990-03-16T00:00:00.000Z,P:\Windgate\plat_geo\Unit3A_19900316.tif,X:\Records\Plats\Windgate\Final\Unit3A_19900316.tif,http:\\gis.johnscreekga.gov\docs\Windgate\plat_geo\Unit3A_19900316.tif,http://gis.johnscreekga.gov/docs_records/Plats/Windgate/Final/Unit3A_19900316.tif,Final,,1b533e58-eebe-4410-9431-98ee28b20b93,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,30038.05078125,1252.86732101587
123,NP100178,SA100449,Windgate,Subdivision,Unit 5,1990-06-01T00:00:00.000Z,P:\Windgate\plat_geo\Unit5_19900601.tif,X:\Records\Plats\Windgate\Final\Unit5_19900601.tif,http:\\gis.johnscreekga.gov\docs\Windgate\plat_geo\Unit5_19900601.tif,http://gis.johnscreekga.gov/docs_records/Plats/Windgate/Final/Unit5_19900601.tif,Final,,2c20dc16-b9d4-4327-aa3a-0106e237501e,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,92952.0625,2769.24771366429
124,NP100180,SA100491,Estates at Johns Creek,Apartments,,,P:\AddisonPlace\plat_geo\ADDISON_PLACE.tif,,http:\\gis.johnscreekga.gov\docs\AddisonPlace\plat_geo\ADDISON_PLACE.tif,,,Name changed from Addison Place,64ea396d-2b23-4b94-bb1c-5c5608f1926f,2013-06-13T13:38:42.000Z,2015-12-16T21:52:32.000Z,180857.0234375,1996.03019862888
125,NP100181,SA100269,Farmbrook,Subdivision,Unit 4,1985-07-08T00:00:00.000Z,P:\Farmbrook\plat_geo\Unit4_19850708.tif,X:\Records\Plats\Farmbrook\Final\Unit4_19850708.tif,http:\\gis.johnscreekga.gov\docs\Farmbrook\plat_geo\Unit4_19850708.tif,http://gis.johnscreekga.gov/docs_records/Plats/Farmbrook/Final/Unit4_19850708.tif,Final,,6cebf537-a41b-4556-a08f-8bd5d2dd9f6d,2013-06-13T13:38:42.000Z,2014-07-23T00:00:00.000Z,114143.67578125,2446.39310568444
126,NP100182,SA100270,Findley Chase,Subdivision,Unit 2,1994-06-17T00:00:00.000Z,P:\FindleyChase\plat_geo\Unit2_19940617.tif,X:\Records\Plats\Finley_Chase\Final\Unit2_19940617.tif,http:\\gis.johnscreekga.gov\docs\FindleyChase\plat_geo\Unit2_19940617.tif,http://gis.johnscreekga.gov/docs_records/Plats/Finley_Chase/Final/Unit2_19940617.tif,Final,,55a6ac2c-46cd-41ca-974d-e95986697278,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,60914.3984375,2176.95240882003
127,NP100183,SA100270,Findley Chase,Subdivision,Unit 1,1992-09-04T00:00:00.000Z,P:\FindleyChase\plat_geo\Unit1_19951018.tif,X:\Records\Plats\Finley_Chase\Final\Unit1_19951018.tif,http:\\gis.johnscreekga.gov\docs\FindleyChase\plat_geo\Unit1_19951018.tif,http://gis.johnscreekga.gov/docs_records/Plats/Finley_Chase/Final/Unit1_19951018.tif,Final,,96c82174-fda2-4e12-9764-06c3732cbc40,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,55729.80078125,2393.11180149379
128,NP100184,SA100270,Findley Chase,Subdivision,Unit 3,1995-09-01T00:00:00.000Z,P:\FindleyChase\plat_geo\Unit3_19950901pg2.tif,X:\Records\Plats\Finley_Chase\Final\Unit3_19950901.tif,http:\\gis.johnscreekga.gov\docs\FindleyChase\plat_geo\Unit3_19950901pg2.tif,http://gis.johnscreekga.gov/docs_records/Plats/Finley_Chase/Final/Unit3_19950901.tif,Final,,e0d1b9ba-2e20-4ba4-ac97-ef8b877124d2,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,12619.65625,690.108834034655
129,NP100185,SA100324,Forrest Lake,Subdivision,,1997-06-26T00:00:00.000Z,P:\ForrestLake\plat_geo\19990104.tif,X:\Records\Plats\Forrest_Lake\Final\19990104.tif,http:\\gis.johnscreekga.gov\docs\ForrestLake\plat_geo\19990104.tif,http://gis.johnscreekga.gov/docs_records/Plats/Forrest_Lake/Final/19990104.tif,Final,,ef1aaefd-6a40-45aa-bcfd-a29b8812ef2f,2013-06-13T13:38:42.000Z,2014-02-28T00:00:00.000Z,61119.1953125,2293.40155952146
130,NP100187,SA100402,Glenhurst,Subdivision,Phase 3A,1997-10-06T00:00:00.000Z,P:\Glenhurst\plat_geo\Phase3Apg1.tif,X:\Records\Plats\Glenhurst\Final\Phase3A.tif,http:\\gis.johnscreekga.gov\docs\Glenhurst\plat_geo\Phase3Apg1.tif,http://gis.johnscreekga.gov/docs_records/Plats/Glenhurst/Final/Phase3A.tif,Final,,758b686d-4030-4d96-8637-d83e0db09b76,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,38833.12109375,1485.89607071956
131,NP100188,SA100402,Glenhurst,Subdivision,Phase 2,1996-12-18T00:00:00.000Z,P:\Glenhurst\plat_geo\Phase2_19961218pg1.tif,X:\Records\Plats\Glenhurst\Final\Phase2_19961218.tif,http:\\gis.johnscreekga.gov\docs\Glenhurst\plat_geo\Phase2_19961218pg1.tif,http://gis.johnscreekga.gov/docs_records/Plats/Glenhurst/Final/Phase2_19961218.tif,Final,,d9af2f71-1a55-4c74-a0fe-b3685c61ab59,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,64230.234375,2443.70719580865
132,NP100190,SA100383,Glenside,Subdivision,,1998-07-27T00:00:00.000Z,P:\Glenside\plat_geo\Glenside_19980520pg3.tif,X:\Records\Plats\Glenside_AKA_Parsons_Rd_Tract\Final\Glenside_.tif,http:\\gis.johnscreekga.gov\docs\Glenside\plat_geo\Glenside_19980520pg3.tif,http://gis.johnscreekga.gov/docs_records/Plats/Glenside_AKA_Parsons_Rd_Tract/Final/Glenside_.tif,Final,,b1dbd363-ede6-4928-865b-bb603b2601b5,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,37802.07421875,1548.93080351006
133,NP100191,SA100384,Haydens Walk,Subdivision,Unit 2,1991-11-08T00:00:00.000Z,P:\HaydensWalk\plat_geo\Unit2_19911108.tif,X:\Records\Plats\Haydens_Walk_AKA_Alabama_Woods\Final\Unit2_19911108.tif,http:\\gis.johnscreekga.gov\docs\HaydensWalk\plat_geo\Unit2_19911108.tif,http://gis.johnscreekga.gov/docs_records/Plats/Haydens_Walk_AKA_Alabama_Woods/Final/Unit2_19911108.tif,Final,,892f0be6-47cf-4e29-a77d-6e92d9edadcf,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,85798.546875,2570.98078762287
134,NP100192,SA100355,River Farm,Subdivision,Phase 2,1994-10-14T00:00:00.000Z,P:\RiverFarm\plat_geo\Phase2_19941014.tif,X:\Records\Plats\River_Farm\Final\Phase2_19941014.tif,http:\\gis.johnscreekga.gov\docs\RiverFarm\plat_geo\Phase2_19941014.tif,http://gis.johnscreekga.gov/docs_records/Plats/River_Farm/Final/Phase2_19941014.tif,Final,,0a907294-7728-43f8-8d89-53cb81f0a8fd,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,174691.62109375,4461.03452493831
135,NP100193,SA100384,Haydens Walk,Subdivision,Unit 1,1990-03-29T00:00:00.000Z,P:\HaydensWalk\plat_geo\Unit1_19930402.tif,X:\Records\Plats\Haydens_Walk_AKA_Alabama_Woods\Final\Unit1_19930402.tif,http:\\gis.johnscreekga.gov\docs\HaydensWalk\plat_geo\Unit1_19930402.tif,http://gis.johnscreekga.gov/docs_records/Plats/Haydens_Walk_AKA_Alabama_Woods/Final/Unit1_19930402.tif,Final,,272bc6ac-4568-4423-afd7-e6f345576416,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,43998.046875,1561.95562150786
136,NP100195,SA100330,Highgate,Subdivision,Unit 2B,1989-11-03T00:00:00.000Z,P:\Highgate\plat_geo\Unit2B_19891103.tif,X:\Records\Plats\Highgate_AKA_Chasemore\Final\Unit2B_19891103.tif,http:\\gis.johnscreekga.gov\docs\Highgate\plat_geo\Unit2B_19891103.tif,http://gis.johnscreekga.gov/docs_records/Plats/Highgate_AKA_Chasemore/Final/Unit2B_19891103.tif,Final,,b540d26f-24e9-40b7-9835-8d88d79d9902,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,74394.26953125,2210.82913908502
137,NP100196,SA100330,Highgate,Subdivision,Unit 2A,1989-05-12T00:00:00.000Z,P:\Highgate\plat_geo\Unit2A_19890512.tif,X:\Records\Plats\Highgate_AKA_Chasemore\Final\Unit2A_19890512.tif,http:\\gis.johnscreekga.gov\docs\Highgate\plat_geo\Unit2A_19890512.tif,http://gis.johnscreekga.gov/docs_records/Plats/Highgate_AKA_Chasemore/Final/Unit2A_19890512.tif,Final,,cadba6c9-8d21-4a58-bb98-ccad9f4aa1ec,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,27735.390625,1207.25891700689
138,NP100197,SA100330,Highgate,Subdivision,Unit 1,1988-05-28T00:00:00.000Z,P:\Highgate\plat_geo\Unit1_19891213.tif,X:\Records\Plats\Highgate_AKA_Chasemore\Final\Unit1_19891213.tif,http:\\gis.johnscreekga.gov\docs\Highgate\plat_geo\Unit1_19891213.tif,http://gis.johnscreekga.gov/docs_records/Plats/Highgate_AKA_Chasemore/Final/Unit1_19891213.tif,Final,,78eddc4d-44fd-4809-8508-d277a08e2b45,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,86294.6875,2929.54972276785
139,NP100204,SA100333,Huntington,Subdivision,Unit 2,1993-10-26T00:00:00.000Z,P:\Huntington\plat_geo\HuntingtonUnit2_19921026.tif,X:\Records\Plats\Huntington\Final\HuntingtonUnit2_19921026.tif,http:\\gis.johnscreekga.gov\docs\Huntington\plat_geo\HuntingtonUnit2_19921026.tif,http://gis.johnscreekga.gov/docs_records/Plats/Huntington/Final/HuntingtonUnit2_19921026.tif,Final,,ff3b0219-a76d-47eb-8604-64a56948fa8f,2013-06-13T13:38:42.000Z,2014-12-02T00:00:00.000Z,73836.21875,2576.65982827626
140,NP100206,SA100333,Huntington,Subdivision,Unit 3,1993-07-09T00:00:00.000Z,P:\Huntington\plat_geo\HuntingtonUnit3_19930709.tif,X:\Records\Plats\Huntington\Final\HuntingtonUnit3_19930709.tif,http:\\gis.johnscreekga.gov\docs\Huntington\plat_geo\HuntingtonUnit3_19930709.tif,http://gis.johnscreekga.gov/docs_records/Plats/Huntington/Final/HuntingtonUnit3_19930709.tif,Final,,c767208c-ef4c-476e-9f43-368dc039e78e,2013-06-13T13:38:42.000Z,2016-01-28T13:43:13.000Z,60925.25390625,2311.06388084291
141,NP100208,SA100353,Prestwick,Subdivision,Unit 1,1986-12-12T00:00:00.000Z,P:\Prestwick\plat_geo\Unit1_19861212.tif,"X:\Records\Plats\Prestwick (LL 253, 254, 289 Dist 1-1)\Final\Unit1_19861212.tif",http:\\gis.johnscreekga.gov\docs\Prestwick\plat_geo\Unit1_19861212.tif,"http://gis.johnscreekga.gov/docs_records/Plats/Prestwick (LL 253, 254, 289 Dist 1-1)/Final/Unit1_19861212.tif",Final,,0ce9de57-9057-4932-ac5b-374e6caafc4a,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,265805.32421875,5472.56917790317
142,NP100209,SA100264,Thornhill,Subdivision,"Unit 1, Section 1",1987-09-04T00:00:00.000Z,P:\Thornhill\plat_geoUnit1_Section1_19870904.tif,X:\Records\Plats\Thornhill\Final\Unit1_Section1_19870904.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geoUnit1_Section1_19870904.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit1_Section1_19870904.tif,Final,,59a02640-6359-4119-b294-d531815eace0,2013-06-13T13:38:42.000Z,2013-06-13T13:38:42.000Z,154002.17578125,4133.23098210772
143,NP100211,SA100264,Thornhill,Subdivision,"Unit 1, Section 2",1988-09-02T00:00:00.000Z,P:\Thornhill\plat_geo\Unit1_Section2_19880902.tif,X:\Records\Plats\Thornhill\Final\Unit1_Section2_19880902.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit1_Section2_19880902.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit1_Section2_19880902.tif,Final,,ad33553f-9c6e-4764-b5c2-6b8c4c84abb9,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,170620.2734375,3762.99522526447
144,NP100214,SA100264,Thornhill,Subdivision,"Unit 1, Section 3",1990-05-18T00:00:00.000Z,P:\Thornhill\plat_geo\Unit1_Section3_19900518.tif,X:\Records\Plats\Thornhill\Final\Unit1_Section3_19900518.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit1_Section3_19900518.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit1_Section3_19900518.tif,Final,,6425cd45-a084-4685-8451-248674e01edc,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,65467.359375,2067.99826375355
145,NP100216,SA100264,Thornhill,Subdivision,"Unit 1, Section 4",1990-05-18T00:00:00.000Z,P:\Thornhill\plat_geo\Unit1_Section4_19900518.tif,X:\Records\Plats\Thornhill\Final\Unit1_Section4_19900518.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit1_Section4_19900518.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit1_Section4_19900518.tif,Final,,f9d3162c-c2f9-448d-8008-fbd920a745c6,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,25803.00390625,1009.23574703073
146,NP100217,SA100264,Thornhill,Subdivision,"Unit 2, Section 1",1991-10-25T00:00:00.000Z,P:\Thornhill\plat_geo\Unit2_Section1_19911025.tif,X:\Records\Plats\Thornhill\Final\Unit2_Section1_19911025.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit2_Section1_19911025.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit2_Section1_19911025.tif,Final,,6270a764-d133-4279-a667-90ca2e76eff7,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,75863.21875,2340.38079106684
147,NP100219,SA100264,Thornhill,Subdivision,"Unit 2, Section 2",1988-11-04T00:00:00.000Z,P:\Thornhill\plat_geo\Unit2_Section2_19881104.tif,X:\Records\Plats\Thornhill\Final\Unit2_Section2_19881104.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit2_Section2_19881104.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit2_Section2_19881104.tif,Final,,1d879510-a6bd-4942-8fac-3668df610be0,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,74065.69921875,2474.70023673823
148,NP100221,SA100264,Thornhill,Subdivision,"Unit 2, Section 3",1987-07-01T00:00:00.000Z,P:\Thornhill\plat_geo\Unit2_Section3_19870701.tif,X:\Records\Plats\Thornhill\Final\Unit2_Section3_19870701.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit2_Section3_19870701.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit2_Section3_19870701.tif,Final,,450f1c6c-7769-45af-b2af-de6a99d8841c,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,15406.16796875,728.887028186407
149,NP100222,SA100264,Thornhill,Subdivision,"Unit 2, Section 4",1988-10-21T00:00:00.000Z,P:\Thornhill\plat_geo\Unit2_Section4_19881021.tif,X:\Records\Plats\Thornhill\Final\Unit2_Section4_19881021.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit2_Section4_19881021.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit2_Section4_19881021.tif,Final,,b7029e02-746f-4947-a1cb-dca5a4ba60ea,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,83983.40625,2696.69299727745
150,NP100224,SA100264,Thornhill,Subdivision,"Unit 2, Section 5",1988-02-04T00:00:00.000Z,P:\Thornhill\plat_geo\Unit2_Section5_19880204.tif,X:\Records\Plats\Thornhill\Final\Unit2_Section5_19880204.tif,http:\\gis.johnscreekga.gov\docs\Thornhill\plat_geo\Unit2_Section5_19880204.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/Unit2_Section5_19880204.tif,Final,,0a4ad321-f27b-4e47-9df0-9e80c2ddf01a,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,79777.609375,2114.44623870727
151,NP100225,SA100315,Brydon Park at Thornhill,Subdivision,,1992-07-13T00:00:00.000Z,P:\BrydonParkAtThornhill\plat_geo\19920713.tif,X:\Records\Plats\Thornhill\Final\BrydonParkatThornhill_19920713.tif,http:\\gis.johnscreekga.gov\docs\BrydonParkAtThornhill\plat_geo\19920713.tif,http://gis.johnscreekga.gov/docs_records/Plats/Thornhill/Final/BrydonParkatThornhill_19920713.tif,Final,,c677690f-140e-4673-a580-80deab92dd9e,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,78841.328125,2780.20138068332
152,NP100226,SA100264,Thornhill,Subdivision,,,,,,,,HOA owned lake - no final plat,3a74b191-0645-41d0-8710-c034dbfc57f9,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,25623.140625,986.327697333135
153,NP100228,SA100264,Thornhill,Subdivision,,,,,,,,HOA owned common area - no final plat,30275676-26b3-47bf-918a-725eae75bdf4,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,116580.73046875,2170.81695896242
154,NP100229,SA100338,Kingston Crossing,Subdivision,Phase 2,1995-08-18T00:00:00.000Z,P:\KingstonCrossing\plat_geo\Phase2_19950818.tif,X:\Records\Plats\Kingston_Crossing\Final\Phase2_19950818.tif,http:\\gis.johnscreekga.gov\docs\KingstonCrossing\plat_geo\Phase2_19950818.tif,http://gis.johnscreekga.gov/docs_records/Plats/Kingston_Crossing/Final/Phase2_19950818.tif,Final,,1569a4e3-6041-4bff-b852-a1bd220545b4,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,191366.97265625,4311.25666861784
155,NP100230,SA100338,Kingston Crossing,Subdivision,Phase 1,1985-01-21T00:00:00.000Z,P:\KingstonCrossing\plat_geo\Phase1_19850121.tif,X:\Records\Plats\Kingston_Crossing\Final\Phase1_19850121.tif,http:\\gis.johnscreekga.gov\docs\KingstonCrossing\plat_geo\Phase1_19850121.tif,http://gis.johnscreekga.gov/docs_records/Plats/Kingston_Crossing/Final/Phase1_19850121.tif,Final,,c6455b57-90fb-4fe9-98fe-eeb5203728b3,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,135199.8515625,3652.11363283819
156,NP100234,SA100447,Lakeview Estates,Subdivision,Unit 2,1988-10-14T00:00:00.000Z,P:\LakeviewEstates\plat_geo\Unit2_19881014.tif,"X:\Records\Plats\LakeView Estates (LL 179, 180, 181 Dist 1-1)\Final\Unit2_19881014.tif",http:\\gis.johnscreekga.gov\docs\LakeviewEstates\plat_geo\Unit2_19881014.tif,"http://gis.johnscreekga.gov/docs_records/Plats/LakeView Estates (LL 179, 180, 181 Dist 1-1)/Final/Unit2_19881014.tif",Final,,992b6f0c-1202-4f6b-bd35-b2aff2c2fa9a,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,371056.18359375,5601.93525174879
157,NP100236,SA100447,Lakeview Estates,Subdivision,Unit 1,1972-02-02T00:00:00.000Z,P:\LakeviewEstates\plat_geo\Unit1_19720228.tif,"X:\Records\Plats\LakeView Estates (LL 179, 180, 181 Dist 1-1)\Final\Unit1_19720228.tif",http:\\gis.johnscreekga.gov\docs\LakeviewEstates\plat_geo\Unit1_19720228.tif,"http://gis.johnscreekga.gov/docs_records/Plats/LakeView Estates (LL 179, 180, 181 Dist 1-1)/Final/Unit1_19720228.tif",Final,,0fdaef8b-fa54-4ad0-a5e4-d3c86b2bd8e4,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,86671.7265625,2084.27365350705
158,NP100239,SA100340,Laurelwood,Subdivision,Unit 1,1990-09-14T00:00:00.000Z,P:\Laurelwood\plat_geo\Unit1_19900917.tif,X:\Records\Plats\Laurelwood\Final\Unit1_19900917.tif,http:\\gis.johnscreekga.gov\docs\Laurelwood\plat_geo\Unit1_19900917.tif,http://gis.johnscreekga.gov/docs_records/Plats/Laurelwood/Final/Unit1_19900917.tif,Final,,5d1e351f-2677-4eb6-a5c9-b3f2a0648494,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,78607.35546875,3046.42142179686
159,NP100242,SA100340,Laurelwood,Subdivision,Unit 2,1993-04-02T00:00:00.000Z,P:\Laurelwood\plat_geo\Unit2_19930402.tif,X:\Records\Plats\Laurelwood\Final\Unit2_19930402.tif,http:\\gis.johnscreekga.gov\docs\Laurelwood\plat_geo\Unit2_19930402.tif,http://gis.johnscreekga.gov/docs_records/Plats/Laurelwood/Final/Unit2_19930402.tif,Final,,54feefd5-9d10-4e1f-852b-f2e273718172,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,45542.7890625,1839.58523987793
160,NP100245,SA100340,Laurelwood,Subdivision,Unit 3,1992-03-23T00:00:00.000Z,P:\Laurelwood\plat_geo\Unit3_19920323.tif,X:\Records\Plats\Laurelwood\Final\Unit3_19920323.tif,http:\\gis.johnscreekga.gov\docs\Laurelwood\plat_geo\Unit3_19920323.tif,http://gis.johnscreekga.gov/docs_records/Plats/Laurelwood/Final/Unit3_19920323.tif,Final,,d7d9410d-9737-4425-b380-ba446a7c3b5b,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,91477.42578125,3071.54849212833
161,NP100247,SA100340,Laurelwood,Subdivision,Unit 5,1993-09-03T00:00:00.000Z,P:\Laurelwood\plat_geo\Unit5_19930903.tif,X:\Records\Plats\Laurelwood\Final\Unit5_19930903.tif,http:\\gis.johnscreekga.gov\docs\Laurelwood\plat_geo\Unit5_19930903.tif,http://gis.johnscreekga.gov/docs_records/Plats/Laurelwood/Final/Unit5_19930903.tif,Final,,18c070de-9c12-42c0-9c38-101a250c75e2,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,38582.0390625,1402.54463114419
162,NP100248,SA100340,Laurelwood,Subdivision,Unit 4B,1993-04-02T00:00:00.000Z,P:\Laurelwood\plat_geo\Unit4B_19930402.tif,X:\Records\Plats\Laurelwood\Final\Unit4B_19930402.tif,http:\\gis.johnscreekga.gov\docs\Laurelwood\plat_geo\Unit4B_19930402.tif,http://gis.johnscreekga.gov/docs_records/Plats/Laurelwood/Final/Unit4B_19930402.tif,Final,,8ef80b11-b76f-47e0-be36-0db327771658,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,41314.36328125,1654.48869916196
163,NP100249,SA100340,Laurelwood,Subdivision,Unit 4A,1993-02-12T00:00:00.000Z,P:\Laurelwood\plat_geo\Unit4A_19930212.tif,X:\Records\Plats\Laurelwood\Final\Unit4A_19930212.tif,http:\\gis.johnscreekga.gov\docs\Laurelwood\plat_geo\Unit4A_19930212.tif,http://gis.johnscreekga.gov/docs_records/Plats/Laurelwood/Final/Unit4A_19930212.tif,Final,,c306c2a4-ee7c-4133-b06a-daa7487b104f,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,7738.3359375,507.923628589337
164,NP100251,SA100391,River Club,Subdivision,,1984-10-01T00:00:00.000Z,P:\RiverClub\plat_geo\19841001.tif,X:\Records\Plats\River_Club\Final\19841001.tif,http:\\gis.johnscreekga.gov\docs\RiverClub\plat_geo\19841001.tif,http://gis.johnscreekga.gov/docs_records/Plats/River_Club/Final/19841001.tif,Final,,792e5029-7ff4-4de6-bad0-f032be8d0808,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,287889.44921875,6372.39723579692
165,NP100253,SA100355,River Farm,Subdivision,Phase 1,1987-03-05T00:00:00.000Z,P:\RiverFarm\plat_geo\Phase1_19870305.tif,X:\Records\Plats\River_Farm\Final\Phase1_19870305.tif,http:\\gis.johnscreekga.gov\docs\RiverFarm\plat_geo\Phase1_19870305.tif,http://gis.johnscreekga.gov/docs_records/Plats/River_Farm/Final/Phase1_19870305.tif,Final,,c9649d70-93a8-4ffc-af60-e2e8877012e2,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,42643.69140625,1496.70299797674
166,NP100256,SA100405,Riverwood,Subdivision,Unit 2,1972-05-24T00:00:00.000Z,P:\Riverwood\plat_geo\Unit2_19720524.tif,X:\Records\Plats\Riverwood\Final\Unit2_19720524.tif,http:\\gis.johnscreekga.gov\docs\Riverwood\plat_geo\Unit2_19720524.tif,http://gis.johnscreekga.gov/docs_records/Plats/Riverwood/Final/Unit2_19720524.tif,Final,,a558e463-aafa-48c6-bc96-5d49e5bc73af,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,183991.50390625,4726.43837132162
167,NP100257,SA100408,Medlock Bridge,Subdivision,"Unit 2, Section 1",1987-10-27T00:00:00.000Z,P:\MedlockBridge\plat_geo\Unit2Section1_19871027.tif,"X:\Records\Plats\Medlock Bridge (LL 258, 259, 260, 283, 284, 285, 301, 302, 303 Dist 1-1)\Final\Unit2Section1_19871027.tif",http:\\gis.johnscreekga.gov\docs\MedlockBridge\plat_geo\Unit2Section1_19871027.tif,"http://gis.johnscreekga.gov/docs_records/Plats/Medlock Bridge (LL 258, 259, 260, 283, 284, 285, 301, 302, 303 Dist 1-1)/Final/Unit2Section1_19871027.tif",Final,,2bb54076-a25c-4f32-9f61-da739060c277,2013-06-13T13:38:43.000Z,2013-06-13T13:38:43.000Z,155290.48828125,4743.95281081918
