OBJECTID_1,Status,FACTYPE1,FACTYPE2,ON_OFFROAD,REGION1,REGION2,Signed,Net_Aff,Comments,State_Rte,Surf_Struc,Marked,Signed_Rte,Edited,NAME,FEAT_MOD_D,WIDTH_USFT,Length_Miles,GlobalID,last_edited_date
329,,Paved Shoulder,"Designated On Road Bike Facility, unimproved",On,Fulton County,Roswell, , ,min 2ft, ,Hard, , ,, , , ,1.456763,{FD4915A1-A7A2-474F-BD61-CDCDE6430845},
330,c,Side Path,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Roswell Riverside Trail, , ,1.617901,{2D132765-26C3-4676-AAD4-882629C7FB4B},
331,c,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.008741,{7FAD6554-CF5B-4B73-8A1D-BD87A6C443C5},
332,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.033998,{C9BF2165-E649-4E66-8E93-6BE1AF150224},
333,c,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.266844,{B6ED1723-CFC9-478B-86E6-65F53B46863C},
334,c,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.040136,{BCC5A71D-94DB-4EBF-A120-901B7F928400},
335,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.361244,{B19E70D0-D9CF-4954-994E-7F96F7B6AE6D},
336,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.038331,{070798A0-4B95-4826-AC4E-4E5524E702B0},
337,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.420536,{F988155E-2BCE-4CD0-AA84-954E6ADF09FF},
338,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.237276,{FD647312-3F72-4EE1-8927-3406FFA5127F},
339,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Mixed Use, , ,0.407047,{51B0F5C0-82F1-4D3A-A641-CD4C3CA74C9B},
340,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Greenway Connector, , ,0.018144,{99056DCE-6315-414D-A5B5-5BB4428115CC},
341,,Shared Use Path or Greenway,Off Road Bike Facility,Off,Fulton County,Roswell, , , , ,Hard, , ,Yes,Big Creek Greenway Connector, , ,0.231767,{F2AB70A5-B282-4A45-8DC0-8505252BC434},
342,,Mountain Bike Trail,Mountain Bike Trail,Off,Fulton County,Roswell, , , , ,Soft, , ,Yes,Big Creek Mountain Bike Trail, , ,1.562257,{BE0D3C31-D21A-4A62-A9D1-3130038B3501},
343,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Blue Route, , ,30.599987,{E5CF6AE7-904C-4F7D-B66E-038D6818B668},
344,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Blue Route, , ,6.487129,{9D13D984-5A87-43E5-851D-3F1A1EED7E29},
345,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Blue Route, , ,2.986859,{BAE541DD-F75D-402C-84E3-51ECED031791},
346,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Blue Route, , ,1.040929,{22D4E089-81A9-46C9-A7E4-A34CCA1F2ABC},
347,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Blue Route, , ,4.439618,{BDEC1EF0-6885-4FC2-B4FC-E45C8E3DEE3E},
348,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Green Route, , ,20.435497,{A417C0CC-1762-45BA-A3D5-EF87E2C7837E},
349,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Green Route, , ,15.858852,{3AC8ED32-3F86-45BD-BFAD-7CD13705AA52},
350,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Green Route, , ,2.074554,{02D14F43-576B-45B7-AF48-1209D410641B},
351,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Orange Route, , ,3.363208,{E6384677-BDE2-482B-B3A8-B104F8729FC3},
352,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Orange Route, , ,2.684032,{6C282C71-0EE5-43EE-835E-54AD4BF4E4D8},
353,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Orange Route, , ,3.506139,{829D2314-FFB7-4873-A675-58FBB019532A},
354,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Orange Route, , ,2.096154,{8F9DEF44-4FBA-4C2D-89BE-A08F9A1D3925},
355,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Orange Route, , ,7.225329,{855B0D95-2253-4E8F-82E0-87E2E537CA02},
356,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Orange Route, , ,2.412353,{6FF0B0ED-89DB-4710-B947-C84ACEFFDCA0},
357,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Orange Route, , ,0.333381,{6F06751C-661C-45BF-8C25-AA778F4F0389},
358,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Purple Route, , ,16.016793,{F2D43C51-AD4D-4605-A6E0-48D28D2DEB14},
359,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Purple Route, , ,10.648297,{757FC6EF-5A46-4D82-A9F7-B0A3CC823AC3},
360,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Purple Route, , ,20.388821,{9700FB15-55CB-46A7-843D-7AC1AD241291},
361,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Purple Route, , ,6.210711,{69900382-6A50-473D-A8C3-9C200B4F7EB7},
362,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Purple Route, , ,3.9527,{D5DEA553-15FF-4580-9EDA-73D9D93313EF},
363,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Purple Route, , ,1.073215,{95787CEB-0728-4143-8D2B-FB16AF91C389},
364,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Red Route, , ,7.581458,{52298C84-6F59-4417-B36A-3FDE146BD7DD},
365,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Red Route, , ,1.961087,{CDBAD7D2-6755-4535-A68D-88505176E682},
366,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Red Route, , ,0.147824,{C3664CC8-0275-4727-BF22-C7FF408199AB},
367,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Red Route, , ,0.807023,{12971CDF-DBF0-47ED-A4A0-166515C88BA4},
368,,Shared Travel Lane,"Designated On Road Bike Facility, unimproved",On,Coweta County, , ,Coweta County, ,No,Hard, , ,,Red Route, , ,19.445945,{5D349E5E-22A9-459D-8EB9-EADF5D0CEE63},
369,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,confirmed private by Scott Hicks 11-18-2011/mjr,No,Hard, , ,, , , ,0.223642,{B2C65ED1-5E90-4748-A30F-2181D58CBF80},
370,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Lakewood Ln. to 1101,No,Hard, , ,,1134, ,9,0.034009,{08DFE6BF-9EB0-4D50-B0CA-20DAD6DD3D31},
371,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Monarch Dr. to 0122,No,Hard, , ,,0110, ,9,0.449079,{6554C24A-3E7F-4F2A-8B8E-361EA36698D6},
372,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Robinson Rd. to Monarch Dr.,No,Hard, , ,,0109, ,9,0.129724,{32402D0E-6EBC-455E-A555-60DEDC8D459B},
373,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Foreston Pl. To Robinson Rd.,No,Hard, , ,,0108, ,9,0.01438,{3BD7FC8D-6B42-4B6B-AB02-09737435F87E},
374,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,RedwoodPk to Pepperwood Dr,No,Hard, , ,,0102, ,8,0.249016,{D89C16CE-ABED-42D0-8C98-22D550FD8658},
375,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Redwood Park to 0102,No,Hard, , ,,0106, ,8,0.034964,{6796E2E9-90C6-4667-9A7B-87042901E211},
376,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Pepperwood Dr to HollyGrove Rd.,No,Hard, , ,,0101, ,8,0.2168,{07F75F99-9AFE-46B3-83A3-18DDB30C3800},
377,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Summer place to 0101,No,Hard, , ,,0104, ,9,0.035173,{D3FBEDED-AAFA-4CD5-B0A6-441A10E3FE0B},
378,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Summer Place to Path 0102,No,Hard, , ,,0103, ,9,0.039074,{02270AAE-9D2A-4182-93A3-337DE9BFF25B},
379,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Summer Place to Longwood ln.,No,Hard, , ,,0105, ,8,0.079836,{9E032D39-7DF4-4D20-801A-EF225B0AC2FD},
380,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From HollyGrove Rd. to Robinson Rd.,No,Hard, , ,,0107, ,9,0.08443,{2C76DFBA-03BF-4A65-BEB1-7F26BF0EB4C0},
381,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Robinson Rd. to Ashton Pk. (Behind Entrance Sign),No,Hard, , ,,0228, ,9,0.018755,{87BCD2E5-9D42-406A-B634-6E7BE81E1D30},
382,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Preserve Pl. to Bottom of Hill at Tunnel,No,Hard, , ,,0230, ,9,0.022055,{CF2518DC-441C-47E0-B3CA-1B78A08DCE7B},
383,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,from 0231 to Boardwalk,No,Hard, , ,,0233, ,9,0.157307,{3056A49B-C434-4826-9312-10C14954C86C},
384,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Preserve Pl. to 0231,No,Hard, , ,,0232, ,9,0.044207,{0B54B405-A6D1-46ED-9C1F-418CF0B1A2C4},
385,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Tunnel to Holly Grove Church Rd.,No,Hard, , ,,0229, ,9,0.038162,{74CD717D-4976-464A-A7CE-7FCC5179BF40},
386,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Cumberland Ct. to 0204,No,Hard, , ,,0205, ,9,0.029528,{19C9C939-8563-475B-8863-DA041A7D68C8},
387,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Savannah Walk to 0204,No,Hard, , ,,0206, ,9,0.028895,{80CCB4E3-0BF6-49CE-919B-4D25E2BC3BE0},
388,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From 0207 to Charleston Close,No,Hard, , ,,0204, ,9,0.341297,{300034BD-468A-414C-BDFE-D982861E317F},
389,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Oakdale Ave. to Huntington Pl.,No,Hard, , ,,0207, ,8,0.416601,{E08D67C7-4ADC-4B0C-A0D9-2D87CEACDAEB},
390,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Huntington Place to Peachtree Pkwy.,No,Hard, , ,,0201, ,8,0.286914,{78724A8A-A9D2-42E2-A841-6B202653DA38},
391,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Bridge to 0902,No,Hard, , ,,0950, , ,0.017113,{21311742-2244-4C3E-B073-075E35404D9D},
392,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.010723,{97CFCB18-E31B-4871-9FF4-470DF9A41D12},
393,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Sunrise Ct. to 0303,No,Hard, , ,,0351, , ,0.009818,{8CC9B5F2-350C-4EAB-848C-5D53A1955BEA},
394,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Bridlepath to Medical Center,No,Hard, , ,,1232, ,9,0.801735,{0CBAE1FE-6E73-4821-BC66-6E1F4695A02A},
395,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1232 to Church Parking Lot,No,Hard, , ,,1244, ,9,0.077538,{36CEB3E4-4C61-429F-994D-7F5941E72209},
396,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Methodist church to Spear Rd.,No,Hard, , ,,1000, ,9,0.232383,{F30CADC4-723F-45DA-B4AC-6A31676EA631},
397,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Whitfield Farms to Windgate ct.,No,Hard, , ,,1245, ,9,0.734138,{DA972D90-0154-4A0F-8B10-5B22CF2CADA0},
398,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Windgate Ct. to Graylog Ln.,No,Hard, , ,,1254, ,9,0.194006,{8E5E2DAE-2340-41B8-8066-4709D9D6C2B2},
399,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Doubletrace Ln. to Fern vale,No,Hard, , ,,1209, ,9,0.058947,{BEAD032B-E1C1-4ECF-A39F-A164C7CC3ECD},
400,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Bridlepath Tunnel to Doubletrace Ln.,No,Hard, , ,,1206, ,9,0.296446,{6C434E5C-36E8-4E64-9AB8-A4F726E11EF2},
401,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From 1204 to Bridlepath Rd.,No,Hard, , ,,1205, ,9,0.230971,{27667652-A9B6-41A2-B3B4-548805F40196},
402,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Bridlepath Tunnel to S-Curve Tunnel,No,Hard, , ,,1204, ,9,0.387374,{984D53D0-5675-462B-AFEA-0764E3370C23},
403,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Clydesdale rd. to 1204,No,Hard, , ,,1224, ,9,0.033466,{3A3FAB3C-AA24-4B2E-93AD-1B5D01395DBC},
404,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Rosewood Ct. to 1204,No,Hard, , ,,1223, ,9,0.079,{F13CC008-E2DE-4CFC-B831-508FDED1BA66},
405,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.018679,{2CC30686-5CB7-4678-B524-C28B323558BF},
406,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.012485,{1D267A75-660A-4CDC-B6FA-62F0062AC59E},
407,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Lavender Oasis to Holly Brook Ln.,No,Hard, , ,,0114, ,9,0.06746,{4D037C12-A735-4D5F-B1C7-80E1E6097FCB},
408,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Fountain Glen ct. to Wilshire Pavillion,No,Hard, , ,,0116, ,9,0.043435,{1C35E8D6-3C7C-44D6-8ECC-B4B09EAAC7E0},
409,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Wilshire Pavillion to TwinBridge Ln.,No,Hard, , ,,0117, ,9,0.095907,{9778EC49-5FEB-4099-9032-A8C134CC311F},
410,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Crossover Path to 0118,No,Hard, , ,,0119, ,9,0.02109,{09DDD99D-2AE0-4B04-87DD-DA958F201C2F},
411,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Holly Springs dr. to Eckerd Pkng.Lot.,No,Hard, , ,,0118, ,9,0.046575,{60BF3377-F423-4D0F-A5E2-C0C4A3AE38BB},
412,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Hollysprings to Lavender Oasis,No,Hard, , ,,0120, ,9,0.058657,{8E48468E-5E02-431E-A696-89784FFB01FC},
413,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From HollySprings Dr to Aster Ridge Tr.,No,Hard, , ,,0112, ,9,0.051696,{8B4D9FF9-6C0C-4C63-A9FE-2ECE9C1AAE2F},
414,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Laveder Oasis to Aster Ridge Trl.,No,Hard, , ,,0115, ,9,0.045334,{2EA9FE63-C115-4BAE-ADF0-F44CCC2EB6E9},
415,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Aster Ridge trl. To 0113,No,Hard, , ,,0121, ,9,0.02636,{C639E1B3-030B-455C-BE5D-A094CA41062B},
416,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Shadycreek Ln. to Cascade Overlook,No,Hard, , ,,0113, ,9,0.126634,{8A5AE466-AD67-43DA-9FF3-254E8637C1B4},
417,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From AsterRidge trl. To 0317,No,Hard, , ,,0111, ,9,0.03965,{69959568-9E70-4770-8400-F4FEE531D1F3},
418,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Richey Pl. to 0207,No,Hard, , ,,0208, ,8,0.039458,{3F71422B-9923-49AC-8280-39643EB375DD},
419,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Path 0210  to Legacy Ln.,No,Hard, , ,,0209, ,8,0.04561,{6EE78D95-2F62-4D16-AF16-AEEFDD93D26D},
420,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From 0207 to Sedgewick ct.,No,Hard, , ,,0210, ,8,0.158846,{2D82F2AB-B55F-4A12-99FA-3309CC929DA5},
421,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Sterling Pt. To 0207,No,Hard, , ,,0220, ,8,0.047357,{022ABCB8-6063-403C-96A8-1A92F5E9FF40},
422,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Iveyedale Ln. to 0201,No,Hard, , ,,0211, ,8,0.039331,{DA0BE283-3E62-4571-9DE3-A98DD14972EA},
423,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Yarbourough Dr. to 0201,No,Hard, , ,,0212, ,8,0.04937,{8D39CCAA-2175-4725-8E57-856C595F2520},
424,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Robinson Rd. to Sussex Tr.,No,Hard, , ,,0213, ,9,0.230009,{03870DA8-A0EE-4160-BD17-2A45C5F0950D},
425,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Sussex Trl. To Merrywood Ln.,No,Hard, , ,,0214, ,9,0.235832,{B9060D8B-DBA4-477F-862C-DE19436EB9D5},
426,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Robinson Rd. to 0207,No,Hard, , ,,0221, ,9,0.009684,{BBA58560-469A-4568-9D6E-AF4E1C7C1757},
427,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Plesance Grove to Chadwick Dr.,No,Hard, , ,,0330, ,9,0.146087,{96347361-0BDE-4521-B71A-BC23065B3E95},
428,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Morallion Hills to Pleasance Grove,No,Hard, , ,,0329, ,9,0.218516,{C9BB5CE5-BC39-4A7A-899C-8F1A4074DA38},
429,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Grecken Green to Braelinn Rd.,No,Hard, , ,,0340, ,8,0.060905,{EB314216-D5D6-4E95-BC0C-FE709C26E35A},
430,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Robinson Rd. to Montclair Dr.,No,Hard, , ,,1005, , ,0.027727,{0E84F982-DD18-4DC2-A1FC-291819F1E385},
431,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1512 to Wisdom Pt. Shopping center,No,Hard, , ,,1550, ,8,0.025415,{B78169D5-47D8-49AF-A293-4697AA902D85},
432,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Along Park Place,No,Hard, , ,,1551, ,9,0.062022,{4AECB819-02FD-4D01-8C81-2E8DBB244CC6},
433,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Magnolia Ln. to 1524,No,Hard, , ,,1552, ,9,0.048244,{D943E60D-2691-4C6F-A1C7-F4F1A29013EA},
434,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1501 to Alderley ln.,No,Hard, , ,,1524, ,9,0.154092,{A12054FB-1553-461E-AB70-DB7BC2A8F064},
435,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,T-22 to Fallside Ct.,No,Hard, , ,,1525, ,9,0.139482,{18D401F0-8F03-4784-B66B-9A4F08E4BA80},
436,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Kedron Dr. to Primrose School,No,Hard, , ,,1553, ,9,0.055398,{6C3DD021-B9FC-48FF-A830-049854EFB17C},
437,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Bridge 23 to Longer Dr.,No,Hard, , ,,1532, ,10,0.148892,{059D620C-51BA-41BB-A0C9-F80C59845871},
438,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From 1534 to Blue Smoke Trl.,No,Hard, , ,,1533, ,10,0.241687,{9B1FFD57-1103-4475-AC43-FC916198AE9E},
439,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Longer dr. to Tunnel 23,No,Hard, , ,,1534, ,10,0.284682,{B6ED0354-C9A9-40CE-B5EE-351F154D9A96},
440,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1534 to Langdon Ln.,No,Hard, , ,,1535, ,9,0.046613,{B46DE409-712D-4F6B-B7E9-EC0A4AE92921},
441,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Spooner Ridge to 1534,No,Hard, , ,,1554, ,10,0.036376,{7B7B99C7-E7BA-4E12-94FA-7E5A726C097F},
442,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Blue Smoke Tunnel to 1612,No,Hard, , ,,1656, ,9,0.022691,{0E670E33-7B93-496A-AD73-02683E7922DA},
443,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Blue Smoke Park to Windalier Ridge,No,Hard, , ,,1644, ,9,0.170557,{1E47D03D-E7FD-4D46-93FB-2EC8EB94B84E},
444,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Between 1644 & 1605,No,Hard, , ,,1645, ,9,0.053719,{C5F74100-AD0A-4F11-9461-D92ACE1A45F3},
445,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Blue Smoke Park to Blue Smoke trl.,No,Hard, , ,,1605, ,8,0.156023,{3A01769A-FCF9-42C6-82AA-72B8F99337C5},
446,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From B24 to Blue Smoke Park,No,Hard, , ,,1604, ,8,0.43485,{F5E41B7E-40FB-4028-AA11-34A15CA8AFA7},
447,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Rolling Green to 1604,No,Hard, , ,,1609, ,8,0.030335,{3C2BF420-1203-472F-B584-706053CDFAC6},
448,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1604 to Parkgate Ln.,No,Hard, , ,,1610, ,8,0.050599,{8837CDA4-9FAB-43F3-AF4F-B9D96EA2ABB8},
449,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Greers mountain to Interlochen,No,Hard, , ,,1657, ,10,0.188461,{31F4FBC7-30B2-49BB-8064-34A642C954A0},
450,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Henrendon Hill to 1604,No,Hard, , ,,1611, ,8,0.07838,{31BB1F6E-BA4E-458E-8DE4-156EF92AD58A},
451,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Windalier Ridge to 1604,No,Hard, , ,,1655, ,8,0.050344,{4411AA09-2137-43EF-9417-D53490D6B502},
