OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,CHNG_JOBS_2002_07,CHNG_JOBS_AGE_29_YNGR_2002_07,CHNG_JOBS_AGE_30_54_2002_07,CHNG_JOBS_AGE_55_OLDR_2002_07,CHNG_JOBS_1250_LESS_2002_07,CHNG_JOBS_1251_3333_2002_07,CHNG_JOBS_3333_MORE_2002_07,CHNG_PCT_JOBS_29_YNGR_2002_07,CHNG_PCT_JOBS_30_54_2002_07,CHNG_PCT_JOBS_55_OLDR_2002_07,CHNG_PCT_JOBS_1250_LESS_2002_07,CHNG_PCT_JOBS_1251_3333_2002_07,CHNG_PCT_JOBS_3333_MORE_2002_07,CHNG_JOBS_2007_10,CHNG_JOBS_AGE_29_YNGR_2007_10,CHNG_JOBS_AGE_30_54_2007_10,CHNG_JOBS_AGE_55_OLDR_2007_10,CHNG_JOBS_1250_LESS_2007_10,CHNG_JOBS_1251_3333_2007_10,CHNG_JOBS_3333_MORE_2007_10,CHNG_PCT_JOBS_29_YNGR_2007_10,CHNG_PCT_JOBS_30_54_2007_10,CHNG_PCT_JOBS_55_OLDR_2007_10,CHNG_PCT_JOBS_1250_LESS_2007_10,CHNG_PCT_JOBS_1251_3333_2007_10,CHNG_PCT_JOBS_3333_MORE_2007_10,CHNG_JOBS_2010_15,CHNG_JOBS_AGE_29_YNGR_2010_15,CHNG_JOBS_AGE_30_54_2010_15,CHNG_JOBS_AGE_55_OLDR_2010_15,CHNG_JOBS_1250_LESS_2010_15,CHNG_JOBS_1251_3333_2010_15,CHNG_JOBS_3333_MORE_2010_15,CHNG_PCT_JOBS_29_YNGR_2010_15,CHNG_PCT_JOBS_30_54_2010_15,CHNG_PCT_JOBS_55_OLDR_2010_15,CHNG_PCT_JOBS_1250_LESS_2010_15,CHNG_PCT_JOBS_1251_3333_2010_15,CHNG_PCT_JOBS_3333_MORE_2010_15,CHNG_JOBS_2002_15,CHNG_JOBS_AGE_29_YNGR_2002_15,CHNG_JOBS_AGE_30_54_2002_15,CHNG_JOBS_AGE_55_OLDR_2002_15,CHNG_JOBS_1250_LESS_2002_15,CHNG_JOBS_1251_3333_2002_15,CHNG_JOBS_3333_MORE_2002_15,CHNG_PCT_JOBS_29_YNGR_2002_15,CHNG_PCT_JOBS_30_54_2002_15,CHNG_PCT_JOBS_55_OLDR_2002_15,CHNG_PCT_JOBS_1250_LESS_2002_15,CHNG_PCT_JOBS_1251_3333_2002_15,CHNG_PCT_JOBS_3333_MORE_2002_15,GlobalID,last_edited_date
285,13151070306,13151,"Census Tract 703.06, Henry County",9849,791,ARC 10,8841.65039063,63.1515007,8904.79980469,13.81509972,0.0986742,13.9137001,070306,Henry,1787,651,892,244,447,791,549,3.9000001,-5.0999999,1.20000005,-2.20000005,-1.10000002,3.29999995,351,-116,402,65,176,119,56,-5.5999999,5.0999999,0.5,2,-1,-1,2268,652,1206,410,794,625,849,0.80000001,-2.5999999,1.89999998,2,-6.0999999,4,4406,1187,2500,719,1417,1535,1454,-0.89999998,-2.70000005,3.5999999,1.79999995,-8.19999981,6.4000001,{98AA9E02-A3C9-45FD-A5A0-0C249FA90A9E},
286,13151070104,13151,"Census Tract 701.04, Henry County",12540,1063,ARC 10,5716.56982422,299.23199463,6015.79980469,8.93214035,0.46755001,9.39968967,070104,Henry,672,350,278,44,307,212,153,7,-4.5999999,-2.4000001,0.30000001,-2.0999999,1.79999995,328,61,224,43,10,189,129,-2.70000005,2.5,0.2,-5.9000001,3.0999999,2.79999995,1515,428,759,328,583,604,328,-2.79999995,-1.20000005,4,-0.30000001,0.40000001,-0.1,2515,839,1261,415,900,1005,610,1.5,-3.29999995,1.79999995,-5.9000001,1.39999998,4.5,{0FAC8483-2EE1-4303-B6BE-5249E6857D3A},
287,13151070202,13151,"Census Tract 702.02, Henry County",11264,515,ARC 10,13585.20019531,96.19589996,13681.40039063,21.2269001,0.150306,21.37719917,070202,Henry,371,73,218,80,101,93,177,-4.9000001,0.2,4.69999981,-6.30000019,-8,14.19999981,-96,-81,-1,-14,-23,-50,-23,-8.19999981,8,0.2,1.39999998,-2.5,1.10000002,139,54,49,36,55,36,48,3.70000005,-5.19999981,1.60000002,0.69999999,-0.89999998,0.30000001,414,46,266,102,133,79,202,-9.5,3,6.5,-4.19999981,-11.39999962,15.60000038,{3B1ECFCD-616E-4BDD-83CC-FAF3D2BE5A2F},
288,13151070305,13151,"Census Tract 703.05, Henry County",8936,754,ARC 10,9784.46972656,309.16699219,10093.59960938,15.28820038,0.483073,15.77120018,070305,Henry,1858,961,708,189,1085,558,215,16.79999924,-15.10000038,-1.70000005,13.89999962,-2.9000001,-11,283,33,219,31,41,189,53,-3.5999999,3.5999999,0,-4.0999999,3.70000005,0.40000001,751,196,364,191,287,328,136,-3.5999999,0.5,3.20000005,-2.5,2,0.60000002,2892,1190,1291,411,1413,1075,404,9.5,-11,1.5,7.19999981,2.79999995,-10,{A4F12786-E578-43EB-895F-27F803CF67E3},
289,13151070304,13151,"Census Tract 703.04, Henry County",11658,1014,ARC 10,7421.91015625,100.34200287,7522.25,11.59669971,0.156784,11.75349998,070304,Henry,1253,294,634,325,122,440,691,-0.40000001,-1.29999995,1.79999995,-3.0999999,-1.89999998,5,-114,-114,-15,15,-190,-398,474,-0.89999998,0.60000002,0.40000001,-1.79999995,-3.9000001,5.69999981,1425,-287,863,849,49,-174,1550,-6.30000019,0.2,6.0999999,-3.29999995,-7.5999999,10.89999962,2564,-107,1482,1189,-19,-132,2715,-7.5999999,-0.60000002,8.19999981,-8.19999981,-13.39999962,21.60000038,{91335CC5-FE4B-4E6D-84A3-6AED65FA4363},
290,13151070106,13151,"Census Tract 701.06, Henry County",6562,548,ARC 10,4077.59008789,22.91480064,4100.50976563,6.37123013,0.0358044,6.40705013,070106,Henry,-119,-147,-80,108,-290,4,167,-4.19999981,-0.5,4.69999981,-8.89999962,1.60000002,7.30000019,-571,-224,-262,-85,-272,-123,-176,-3.4000001,2.9000001,0.60000002,-2.5999999,3.5999999,-1,-1422,-366,-832,-224,-514,-585,-323,-5.0999999,1.10000002,4,-0.5,-7.0999999,7.5999999,-2112,-737,-1174,-201,-1076,-704,-332,-12.69999981,3.5,9.19999981,-12,-1.89999998,13.80000019,{17AB72C3-755E-4DC5-B90E-5E953160C986},
291,13151070203,13151,"Census Tract 702.03, Henry County",14969,789,ARC 10,22368,481.55499268,22849.59960938,34.95000076,0.75243002,35.70249939,070203,Henry,150,50,41,59,116,-27,61,0.80000001,-4.9000001,4.0999999,6.0999999,-10,3.9000001,-71,-57,1,-15,-38,-38,5,-4.30000019,4.5,-0.2,-0.60000002,-1.70000005,2.29999995,243,35,118,90,69,115,59,-2.29999995,-1.89999998,4.19999981,-3.70000005,3.4000001,0.30000001,322,28,160,134,147,50,125,-5.69999981,-2.29999995,8.10000038,1.70000005,-8.30000019,6.5,{7D313BA6-0D70-462C-BDAB-3EB344160995},
292,13151070402,13151,"Census Tract 704.02, Henry County",12289,880,ARC 10,23445.09960938,105.27500153,23550.30078125,36.63299942,0.164492,36.79729843,070402,Henry,83,36,31,16,26,39,18,3.0999999,-7.80000019,4.69999981,-1.39999998,-0.69999999,2.0999999,51,18,22,11,45,-9,15,-0.40000001,-1.5,2,9.69999981,-11.69999981,2.0999999,114,33,62,19,33,55,26,-2.4000001,1.20000005,1.20000005,-4.19999981,3.29999995,0.80000001,248,87,115,46,104,85,59,0.30000001,-8.10000038,7.80000019,4.0999999,-9.10000038,5,{82935B42-394C-4AF9-BC5F-E717E2222221},
293,13015960101,13015,"Census Tract 9601.01, Bartow County",1573,136,ARC 20,23079.09960938,0,23079.09960938,36.06110001,0,36.06110001,960101,Bartow,36,13,18,5,-16,42,10,0.89999998,0,-0.89999998,-26.60000038,21.5,5.0999999,-55,-30,-24,-1,-2,-40,-13,-19,5.9000001,13,8.89999962,-2.4000001,-6.5,61,15,38,8,6,35,20,4.69999981,3.20000005,-8,-6.19999981,-5.30000019,11.5,42,-2,32,12,-12,37,17,-13.30000019,9.19999981,4.19999981,-23.89999962,13.80000019,10.10000038,{73324E25-52EF-4979-B160-D921879D8DAD},
294,13015960402,13015,"Census Tract 9604.02, Bartow County",8758,705,ARC 20,12719.59960938,104.51200104,12824.09960938,19.87439919,0.16329999,20.03770065,960402,Bartow,1957,568,1000,389,253,865,839,3.0999999,-6.0999999,3,-2.79999995,0.89999998,1.89999998,-1305,-619,-706,20,-186,-834,-285,-6.69999981,2.70000005,3.9000001,1.29999995,-5.69999981,4.4000001,406,131,-36,311,-60,127,339,1.29999995,-5.80000019,4.5,-2.70000005,-0.40000001,3.0999999,1058,80,258,720,7,158,893,-2.29999995,-9.10000038,11.39999962,-4.19999981,-5.30000019,9.39999962,{088E5305-DC2A-4AB0-A1FB-A8DD4BC3ACA3},
295,13015960901,13015,"Census Tract 9609.01, Bartow County",3206,360,ARC 20,8257.25,184.96699524,8442.21972656,12.90200043,0.289011,13.19099998,960901,Bartow,-132,-133,-42,43,43,-353,178,-10.30000019,4.4000001,5.9000001,6.30000019,-28.29999924,22,410,4,300,106,15,299,96,-4.4000001,1.5,2.9000001,-4.80000019,12,-7.0999999,308,59,90,159,-7,-25,340,1.39999998,-7.4000001,6,-3.20000005,-9.69999981,12.89999962,586,-70,348,308,51,-79,614,-13.30000019,-1.5,14.80000019,-1.70000005,-26.10000038,27.79999924,{90360B7A-05F3-4A12-A45C-0DFE9A8513F0},
296,13015960102,13015,"Census Tract 9601.02, Bartow County",10073,774,ARC 20,54358.80078125,116.36799622,54475.19921875,84.93560028,0.181825,85.11750031,960102,Bartow,869,162,522,185,78,370,421,-0.80000001,-2.29999995,3.0999999,-6.30000019,-5.9000001,12.19999981,-63,-97,50,-16,-58,-126,121,-3.9000001,4.0999999,-0.30000001,-2.0999999,-4.30000019,6.4000001,806,244,332,230,65,-140,881,3.79999995,-7.19999981,3.4000001,-2.29999995,-17.60000038,19.89999962,1612,309,904,399,85,104,1423,-0.89999998,-5.30000019,6.19999981,-10.69999981,-27.79999924,38.5,{F6ABF6D3-C462-4D63-874B-9EEF4D204F4F},
297,13015960802,13015,"Census Tract 9608.02, Bartow County",2998,382,ARC 20,3426.62011719,1053.70996094,4480.33007813,5.35409021,1.64642,7.00052023,960802,Bartow,13,19,-17,11,-20,21,12,6.19999981,-9.80000019,3.5999999,-8.80000019,5.0999999,3.70000005,121,-16,118,19,-4,66,59,-14,14.39999962,-0.40000001,-4.5999999,-3.5999999,8.10000038,63,7,38,18,24,49,-10,-0.80000001,-1,1.70000005,4.5,2.20000005,-6.80000019,197,10,139,48,0,136,61,-8.60000038,3.5999999,5,-8.80000019,3.79999995,5,{3CFCFA7F-546A-46F2-B1FF-197561592A15},
298,13015961000,13015,"Census Tract 9610, Bartow County",7296,622,ARC 20,43843.30078125,602.98199463,44446.30078125,68.50520325,0.942159,69.44730377,961000,Bartow,-360,-63,-322,25,-102,-33,-225,0,-6.5,6.5,-2.4000001,6.4000001,-4,167,27,89,51,0,52,115,-0.2,-1.5,1.70000005,-2.70000005,-0.40000001,3,-367,-22,-276,-69,49,-91,-325,5,-5.5,0.5,13.10000038,3.79999995,-17,-560,-58,-509,7,-53,-72,-435,4.80000019,-13.5,8.69999981,8.10000038,9.80000019,-17.89999962,{D36D4579-3B4D-4C5A-8792-66B3601EB883},
299,13015960801,13015,"Census Tract 9608.01, Bartow County",3327,434,ARC 20,4814.39013672,1157.68005371,5972.06982422,7.52248001,1.80887997,9.33135986,960801,Bartow,227,46,141,40,2,118,107,-0.30000001,-0.30000001,0.60000002,-6.4000001,1.79999995,4.5999999,-274,-86,-150,-38,-87,-151,-36,-4.19999981,3.4000001,0.69999999,-4.5999999,-3.5999999,8.19999981,558,102,307,149,75,217,266,0.5,-5.19999981,4.69999981,-1.29999995,-1.79999995,3.0999999,511,62,298,151,-10,184,337,-4,-2.0999999,6.0999999,-12.19999981,-3.5999999,15.89999962,{254F7073-E991-4019-8F60-9E01E8B36DA3},
300,13015960300,13015,"Census Tract 9603, Bartow County",6714,574,ARC 20,39260.3984375,183.94299316,39444.3984375,61.3443985,0.287411,61.63190079,960300,Bartow,208,37,117,54,55,83,70,-5,0.2,4.80000019,-3.5,-2.5,6,-77,-49,-26,-2,-77,-21,21,-4.19999981,2.70000005,1.5,-8.10000038,2.29999995,5.80000019,-284,-108,-139,-37,-87,-179,-18,-10.69999981,8.10000038,2.70000005,-3.5,-12.60000038,16.10000038,-153,-120,-48,15,-109,-117,73,-20,11,9,-15.10000038,-12.80000019,28,{4E5F3550-757A-4406-A59E-4528CB5539F0},
301,13015960902,13015,"Census Tract 9609.02, Bartow County",6351,562,ARC 20,9022.55957031,42.70479965,9065.26953125,14.09770012,0.0667263,14.16450024,960902,Bartow,51,12,33,6,-1,15,37,0.89999998,0,-0.89999998,-5.80000019,-3.9000001,9.69999981,2544,475,1609,460,540,1269,735,-0.89999998,-1.29999995,2.20000005,-2.20000005,3,-0.80000001,-937,-293,-602,-42,-386,-652,101,-6.19999981,-0.40000001,6.69999981,-9.80000019,-10,19.79999924,1658,194,1040,424,153,632,873,-6.19999981,-1.79999995,8,-17.79999924,-10.89999962,28.70000076,{0FA6735F-9C30-44FE-BDD7-67DE5957E737},
302,13015960500,13015,"Census Tract 9605, Bartow County",8056,839,ARC 20,6003.66015625,0,6003.66015625,9.38072014,0,9.38072014,960500,Bartow,602,251,302,49,307,197,98,10,-7.19999981,-2.79999995,15.10000038,-11.19999981,-4,-631,-259,-338,-34,-298,-244,-89,-10.19999981,3.20000005,7,-11.60000038,4.0999999,7.5,390,87,232,71,14,166,210,-0.60000002,0.2,0.40000001,-11,-1.5,12.5,361,79,196,86,23,119,219,-0.80000001,-3.79999995,4.5999999,-7.5,-8.5,16,{C2B09BDE-3CF2-44EE-8BD5-0014C40F0157},
303,13015960600,13015,"Census Tract 9606, Bartow County",9131,770,ARC 20,6100.99023438,88.01650238,6189,9.53279972,0.13752601,9.67031002,960600,Bartow,18,-144,-55,217,-96,-541,655,-1.70000005,-0.80000001,2.5,-1.20000005,-6.4000001,7.5999999,-4836,-1168,-2963,-705,-1064,-2450,-1322,-1.20000005,0.2,1,-0.1,0.30000001,-0.2,1716,254,929,533,181,294,1241,-2.29999995,-2.29999995,4.5999999,-3.5,-10.60000038,14.10000038,-3102,-1058,-2089,45,-979,-2697,574,-5.19999981,-2.9000001,8.10000038,-4.80000019,-16.70000076,21.5,{30E7ADB6-7962-4437-BC64-489B0CA11D07},
304,13015960200,13015,"Census Tract 9602, Bartow County",11342,859,ARC 20,43556.30078125,70.52590179,43626.8984375,68.05670166,0.110197,68.16699982,960200,Bartow,410,123,226,61,103,-4,311,0.40000001,-0.69999999,0.2,-1,-8.89999962,9.80000019,-482,-233,-232,-17,-153,-282,-47,-4.9000001,2.5,2.5,-0.40000001,-3.5,3.9000001,518,161,232,125,92,180,246,1.70000005,-3.29999995,1.60000002,-2.4000001,-1.20000005,3.5999999,446,51,226,169,42,-106,510,-2.79999995,-1.5,4.30000019,-3.79999995,-13.5,17.29999924,{D95933D4-CEDC-46DE-8952-03B8200573BD},
305,13015960401,13015,"Census Tract 9604.01, Bartow County",10043,918,ARC 20,4386.97021484,0,4386.97021484,6.85464001,0,6.85464001,960401,Bartow,499,86,271,142,-111,319,291,-2,-0.5,2.5,-9.19999981,2.29999995,6.9000001,-21,-171,68,82,-80,-82,141,-5.19999981,2.5,2.70000005,-2.29999995,-2.20000005,4.5999999,259,66,47,146,68,-43,234,0.2,-3.0999999,2.9000001,0.1,-4.9000001,4.9000001,737,-19,386,370,-123,194,666,-7,-1.10000002,8.10000038,-11.5,-4.80000019,16.29999924,{8EF624FB-4CA2-45E6-9D3C-15EB16DCD35B},
306,13015960803,13015,"Census Tract 9608.03, Bartow County",5417,400,ARC 20,19081.5,1324.0300293,20405.5,29.81480026,2.06879997,31.88360023,960803,Bartow,193,95,41,57,23,93,77,5.9000001,-9.39999962,3.5,-1.79999995,-0.5,2.29999995,-152,-125,-9,-18,-42,-108,-2,-10.89999962,10,0.89999998,-1.70000005,-4.0999999,5.80000019,625,122,316,187,129,137,359,1.5,-7.19999981,5.69999981,1.60000002,-10.80000019,9.19999981,666,92,348,226,110,122,434,-3.5,-6.5999999,10.10000038,-2,-15.39999962,17.39999962,{3BDFE8A2-7584-42D4-8462-D370E8D18D19},
307,13015960700,13015,"Census Tract 9607, Bartow County",7657,730,ARC 20,16196.70019531,1834.79003906,18031.5,25.30730057,2.86685991,28.17420006,960700,Bartow,595,106,286,203,-322,476,441,-1.79999995,-0.30000001,2.0999999,-9.80000019,4,5.80000019,-886,-585,-282,-19,-573,-262,-51,-5.0999999,3.0999999,2,-3.9000001,1.89999998,2,382,63,100,219,229,-44,197,-0.89999998,-1.79999995,2.70000005,1.5,-3.5999999,2,91,-416,104,403,-666,170,587,-7.69999981,1,6.69999981,-12.19999981,2.29999995,9.89999962,{24ECCC62-751E-4B5B-82CE-20A2EA126F5F},
308,13135050319,13135,"Census Tract 503.19, Gwinnett County",6719,465,ARC 10,854.71398926,3.30355,858.01702881,1.33548999,0.0051618,1.34064996,050319,Gwinnett,-1800,-218,-1387,-195,-185,-649,-966,4.9000001,-6.5999999,1.70000005,4,0.69999999,-4.69999981,-411,-204,-203,-4,-141,-142,-128,-5.5,2.5999999,2.9000001,-3.0999999,0.69999999,2.5,546,67,275,204,27,17,502,-1.29999995,-3.0999999,4.30000019,-2.5,-7.69999981,10.19999981,-1665,-355,-1315,5,-299,-774,-592,-1.79999995,-7.0999999,8.89999962,-1.70000005,-6.4000001,8,{5B924914-142C-4570-A7C5-790372AAC4D9},
309,13135050219,13135,"Census Tract 502.19, Gwinnett County",3859,342,ARC 10,711.49597168,0,711.49597168,1.11170995,0,1.11170995,050219,Gwinnett,949,350,453,146,218,456,275,5.9000001,-7.69999981,1.89999998,-3.5999999,2.5,1.10000002,-379,-287,-99,7,-222,-217,60,-10.10000038,6.80000019,3.29999995,-6.9000001,-2.70000005,9.60000038,437,83,214,140,114,35,288,-0.1,-3,3.20000005,1.10000002,-6.9000001,5.80000019,1007,146,568,293,110,274,623,-4.30000019,-4,8.30000019,-9.39999962,-7.0999999,16.5,{01180521-75A7-4CD4-AC40-A06D620FA81A},
310,13135050211,13135,"Census Tract 502.11, Gwinnett County",5491,522,ARC 10,847.88702393,5.30534983,853.19299316,1.32482004,0.00828961,1.33310997,050211,Gwinnett,900,107,609,184,93,274,533,-4.80000019,3,1.79999995,-5.5999999,-1.20000005,6.80000019,-1133,-695,-443,5,-615,-363,-155,-6.30000019,3.4000001,2.9000001,-3.79999995,1.20000005,2.70000005,242,85,-6,163,-16,30,228,0.30000001,-3,2.79999995,-2.20000005,-1.29999995,3.5,9,-503,160,352,-538,-59,606,-10.89999962,3.29999995,7.5,-11.60000038,-1.29999995,13,{83E6E7EA-5444-4E0E-B22C-E75950CC5B2E},
311,13135050215,13135,"Census Tract 502.15, Gwinnett County",3420,332,ARC 10,1798.83996582,6.82652998,1805.67004395,2.81068993,0.0106665,2.82136011,050215,Gwinnett,1840,207,1140,493,-410,-207,2457,-2.79999995,0.69999999,2.20000005,-7,-6.5999999,13.60000038,-1033,-852,-183,2,-620,-247,-166,-4,3.0999999,1,-2.70000005,0.80000001,1.89999998,1212,-201,685,728,-271,-603,2086,-3.5999999,-0.30000001,3.9000001,-3.79999995,-7,10.80000019,2019,-846,1642,1223,-1301,-1057,4377,-10.39999962,3.4000001,7,-13.5,-12.89999962,26.39999962,{81E9B3F5-8762-4020-B928-2EB93ED175E4},
312,13135050216,13135,"Census Tract 502.16, Gwinnett County",8986,826,ARC 10,3421.83007813,25.31030083,3447.13989258,5.34661007,0.0395473,5.3861599,050216,Gwinnett,-1005,-333,-640,-32,-1012,-402,409,-1.60000002,-0.2,1.79999995,-13.89999962,1.20000005,12.80000019,-254,-159,-111,16,252,-410,-96,-2,0.89999998,1.10000002,5.69999981,-5.80000019,0.1,4645,733,2734,1178,715,1209,2721,-2.5,-2.20000005,4.69999981,-1.79999995,-7.4000001,9.19999981,3386,241,1983,1162,-45,397,3034,-6.0999999,-1.39999998,7.5,-10,-12,22.10000038,{A7AF9D13-AEC6-40F9-9B3A-4C17C3D4AB45},
313,13135050527,13135,"Census Tract 505.27, Gwinnett County",6391,437,ARC 10,1470.79003906,12.60340023,1483.39001465,2.29811001,0.0196928,2.31780005,050527,Gwinnett,-417,-98,-256,-63,-78,-249,-90,1.39999998,-1.39999998,-0.1,5,-8.69999981,3.5999999,237,19,155,63,65,25,147,-5.69999981,2.20000005,3.5,-0.89999998,-8.80000019,9.69999981,-442,-109,-282,-51,-154,-111,-177,-4.5999999,-4.4000001,9,-7,7.5,-0.5,-622,-188,-383,-51,-167,-335,-120,-8.89999962,-3.5999999,12.39999962,-2.9000001,-10,12.89999962,{70DEC5D6-B5FC-412C-A548-CDB48525DD54},
314,13135050549,13135,"Census Tract 505.49, Gwinnett County",5256,533,ARC 10,976.17602539,15.00769997,991.184021,1.52526999,0.0234495,1.54873002,050549,Gwinnett,107,-4,81,30,-25,56,76,-13.60000038,7.9000001,5.69999981,-23.79999924,5.5999999,18.20000076,-31,14,-46,1,35,-13,-53,7.0999999,-8.89999962,1.79999995,14.10000038,-0.2,-13.89999962,153,55,65,33,84,39,30,0.80000001,-2.20000005,1.39999998,3.79999995,-4.5999999,0.89999998,229,65,100,64,94,82,53,-5.69999981,-3.20000005,9,-6,0.80000001,5.19999981,{6179DE04-C4A9-4694-8F1A-455798FCFDC7},
315,13135050540,13135,"Census Tract 505.40, Gwinnett County",6735,687,ARC 10,1080.65002441,3.47282004,1084.11999512,1.68851995,0.00542628,1.69394004,050540,Gwinnett,12,30,-39,21,-143,-16,171,1.29999995,-2.29999995,1,-7.5999999,-1,8.60000038,-221,-114,-82,-25,-65,-66,-90,-1.5,1.39999998,0.1,2,0.69999999,-2.70000005,630,235,263,132,198,283,149,-0.40000001,-2,2.4000001,-4.19999981,2.4000001,1.79999995,421,151,142,128,-10,201,230,-0.5,-2.9000001,3.5,-9.80000019,2.0999999,7.69999981,{8B2433CE-31A9-4A24-8D75-AF31593CAB54},
316,13135050722,13135,"Census Tract 507.22, Gwinnett County",3353,423,ARC 10,889.16601563,9.65835953,898.82501221,1.38932002,0.0150912,1.40441,050722,Gwinnett,192,112,62,18,115,50,27,15,-11.80000019,-3.20000005,14.5,-12.80000019,-1.70000005,-105,-72,-29,-4,-55,-32,-18,-9.5,6.19999981,3.29999995,-2.5999999,3.0999999,-0.5,140,71,57,12,76,45,19,5.5999999,-3.20000005,-2.5,3.79999995,-3.29999995,-0.5,227,111,90,26,136,63,28,11.10000038,-8.80000019,-2.4000001,15.69999981,-13,-2.70000005,{868A824B-F7A4-4FB0-BCE4-AEBAEF42C55F},
317,13135050729,13135,"Census Tract 507.29, Gwinnett County",3168,425,ARC 10,665.72198486,0,665.72198486,1.04018998,0,1.04018998,050729,Gwinnett,130,12,62,56,-10,51,89,-3.70000005,-0.2,4,-6.69999981,0.5,6.19999981,-120,-77,-45,2,-46,-46,-28,-3.0999999,1.39999998,1.70000005,0.60000002,-0.40000001,-0.30000001,241,47,98,96,55,132,54,-3,-2,4.9000001,-4.0999999,3.79999995,0.30000001,251,-18,115,154,-1,137,115,-9.80000019,-0.80000001,10.60000038,-10.19999981,4,6.19999981,{EBF44854-28E2-46F9-A964-949D229BAF13},
318,13135050725,13135,"Census Tract 507.25, Gwinnett County",6005,468,ARC 10,1218.75,3.66852999,1222.41003418,1.90429997,0.00573208,1.91001999,050725,Gwinnett,37,-10,-12,59,-4,-30,71,-2,-3,4.9000001,-1.20000005,-4.19999981,5.4000001,103,21,93,-11,122,-15,-4,-0.80000001,3.0999999,-2.29999995,8.10000038,-4.80000019,-3.29999995,132,-49,114,67,-82,116,98,-6.5,2.9000001,3.5999999,-9.19999981,5,4.19999981,272,-38,195,115,36,71,165,-9.30000019,3,6.19999981,-2.20000005,-4.0999999,6.30000019,{60DE8B9C-55EF-4371-AF20-313BDB7836B1},
319,13135050730,13135,"Census Tract 507.30, Gwinnett County",7531,1005,ARC 10,2514.15991211,52.88869858,2567.04003906,3.92837,0.0826386,4.01100016,050730,Gwinnett,76,46,-2,32,61,-48,63,2.9000001,-5.9000001,3,4.69999981,-11,6.30000019,-112,-70,-46,4,-75,11,-48,-4.80000019,1.39999998,3.4000001,-5,7.69999981,-2.79999995,180,36,89,55,42,71,67,-2.4000001,-0.2,2.5999999,-2.4000001,-0.40000001,2.79999995,144,12,41,91,28,34,82,-4.30000019,-4.69999981,9,-2.70000005,-3.70000005,6.4000001,{36AC1D21-14B3-4A5C-AA29-0DA25359D323},
320,13135050728,13135,"Census Tract 507.28, Gwinnett County",14273,1552,ARC 10,7274.12011719,81.79260254,7355.91015625,11.3657999,0.127801,11.49359989,050728,Gwinnett,-3,-74,-8,79,-70,-29,96,-6.4000001,-0.5,7,-6.0999999,-2.4000001,8.5,931,293,417,221,749,244,-62,6.4000001,-8.39999962,2,27.89999962,-6.80000019,-21.10000038,-983,-336,-465,-182,-776,-422,215,-9.5,7,2.5,-29.5,-7.5999999,37.09999847,-55,-117,-56,118,-97,-207,249,-9.60000038,-1.89999998,11.5,-7.69999981,-16.79999924,24.5,{8767398E-3BA3-4EC6-95AF-0A48706CB35A},
321,13135050731,13135,"Census Tract 507.31, Gwinnett County",9914,777,ARC 10,3825.5300293,114.10399628,3939.63989258,5.97738981,0.178287,6.15569019,050731,Gwinnett,875,411,377,87,405,336,134,12.30000019,-10,-2.29999995,13.80000019,-4.30000019,-9.5,-311,-216,-103,8,-204,-61,-46,-8.89999962,4.5999999,4.30000019,-8.19999981,6.5,1.60000002,33,-28,26,35,-13,-33,79,-3.70000005,0.80000001,2.9000001,-2.29999995,-4.69999981,7,597,167,300,130,188,242,167,-0.40000001,-4.5,4.9000001,3.4000001,-2.5,-0.89999998,{E5324819-13A2-4E4F-9295-7CE9DCA210F3},
322,13135050609,13135,"Census Tract 506.09, Gwinnett County",12137,1096,ARC 10,7324.49023438,57.42089844,7381.91015625,11.44449997,0.0897202,11.53419971,050609,Gwinnett,683,221,390,72,228,280,175,-8,6.69999981,1.29999995,-7.30000019,0.89999998,6.4000001,-76,-130,37,17,-93,-74,91,-8.10000038,6.0999999,2,-5.0999999,-3.5,8.60000038,1076,246,593,237,156,561,359,-4.0999999,-0.89999998,5,-9.60000038,7.19999981,2.29999995,1683,337,1020,326,291,767,625,-20.20000076,11.89999962,8.30000019,-21.89999962,4.5999999,17.29999924,{22115459-9027-4CD0-AF54-FDA4B8B61695},
323,13135050610,13135,"Census Tract 506.10, Gwinnett County",17820,1503,ARC 10,8081.16015625,89.27890015,8170.43994141,12.62679958,0.139498,12.7663002,050610,Gwinnett,953,489,396,68,427,339,187,13.10000038,-8.89999962,-4.19999981,3,-5.5999999,2.5999999,62,-160,162,60,-73,132,3,-11.60000038,8.30000019,3.4000001,-6.19999981,6.69999981,-0.5,472,84,305,83,53,118,301,-3.0999999,2.0999999,1,-5.80000019,-4.69999981,10.5,1487,413,863,211,407,589,491,-1.60000002,1.39999998,0.2,-9,-3.5999999,12.60000038,{0310D95F-3B88-4BB9-BF54-521D569D66D6},
