OBJECTID,GEOID10,NAME10,PLNG_REGION,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,GlobalID
152,13117130509,1305.09,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1147,0,0,0,3251,U,2773.558723,0.85314,853.102594,0.262412,669.547309,0.847528,301.583355,0.837732,0,0,1393.659819,0.428687,453.961339,0.139637,326.872596,0.413763,146.156249,0.40599,0,0,{F565458A-EF00-47E2-A933-2EDB39D6F7EC}
153,13117130403,1304.03,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1925,0,0,0,5666,U,5593.558934,0.987215,795.175255,0.140342,1622.338274,0.985026,536.274283,0.989436,0,0,4714.072601,0.831993,629.0543,0.111023,1366.937479,0.829956,440.890784,0.813452,0,0,{C5B4A4BE-B183-4DBB-BEEC-BE2CB3332CA1}
154,13067031506,315.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1729,0,0,0,4814,U,4142.720309,0.860557,1137.054728,0.236197,1073.494809,0.887186,509.456343,0.784987,44.868454,0.025951,1724.060742,0.358135,456.091522,0.094743,438.582615,0.362465,217.94382,0.335815,17.610889,0.010186,{D31E1495-C922-444A-ACB2-808630BF6F92}
155,13067031508,315.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1701,0,0,0,5090,U,4773.854473,0.937889,952.99558,0.187229,1334.150624,0.934934,384.799853,0.943137,22.817669,0.013414,3907.267673,0.767636,805.09879,0.158173,1092.446997,0.765555,305.962556,0.749908,16.998156,0.009993,{B866BAE5-BE6A-459A-8BEF-608950660DAC}
156,13067031116,311.16,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2173,0,0,1,5717,U,5187.126287,0.907316,3161.238039,0.552954,1536.750115,0.903439,259.101879,0.925364,78.150085,0.035964,467.650908,0.0818,243.352305,0.042566,110.523712,0.064976,45.290469,0.161752,4.061228,0.001869,{680CA8D1-C271-4A81-8185-9E1C25078340}
157,13067031115,311.15,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1658,0,0,1,4583,U,4044.212362,0.882438,1319.762209,0.287969,1097.649602,0.89824,373.469597,0.868534,33.977528,0.020493,1793.365801,0.391308,586.644432,0.128004,473.149419,0.387193,172.710571,0.401652,15.566493,0.009389,{D23BB065-E106-4F94-AF09-4FA5FFF2745F}
158,13067030223,302.23,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2308,0,0,0,6146,U,4011.566088,0.652712,713.066159,0.116021,954.794057,0.629811,264.48611,0.548726,53.042445,0.022982,961.345011,0.156418,139.760456,0.02274,280.222063,0.184843,47.288703,0.098109,1.048893,0.000454,{21921DDC-7AFD-482E-B303-E7DD9526ABB8}
159,13067031312,313.12,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,3143,8,0.000928,1,8622,U,7926.867548,0.919377,3211.355434,0.372461,2278.119325,0.936342,460.018949,0.936902,151.63897,0.048247,5276.200056,0.611946,2172.186848,0.251935,1532.477008,0.629871,347.103434,0.706932,113.049598,0.035969,{1C37DFFE-D7AF-47E6-B7F0-7C41EAF98F60}
160,13067031313,313.13,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,3578,0,0,0,9698,U,8918.370822,0.919609,1011.834891,0.104334,2611.539899,0.918909,328.915415,0.911123,45.516066,0.012721,6050.067237,0.623847,643.628588,0.066367,1862.269058,0.655267,234.87105,0.650612,32.875414,0.009188,{9C3BA04A-7637-4B76-BD7C-103F12A64978}
161,13067031309,313.09,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2504,16,0.002165,0,7392,U,7298.913139,0.987407,1926.869427,0.26067,2156.315885,0.985519,598.304828,0.993862,84.325053,0.033676,4536.679555,0.613728,1080.61672,0.146187,1275.900004,0.583135,435.364454,0.723197,46.47603,0.018561,{414C08E0-86F6-4279-9682-CAA968F642C5}
162,13117130101,1301.01,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1220,0,0,0,3489,R,3456.448283,0.99067,540.492495,0.154913,949.699508,0.990302,392.866451,0.989588,0,0,3259.090485,0.934104,529.266226,0.151696,893.013911,0.931193,369.219994,0.930025,0,0,{4A0D6ADD-C880-4547-B352-8ADBAF64A6C6}
163,13117130104,1301.04,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1425,0,0,0,3957,R,3957.000017,1,599.751987,0.151567,1047.000005,1,465.000005,1,54.957014,0.038566,3957.000017,1,599.751987,0.151567,1047.000005,1,465.000005,1,54.957014,0.038566,{FC715E5B-586C-4786-93A3-23CB08262371}
164,13117130506,1305.06,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1188,0,0,0,3166,U,3021.678617,0.954415,312.569297,0.098727,826.091236,0.935551,264.933276,0.981234,35.931429,0.030245,2065.03969,0.652255,172.291198,0.054419,502.835864,0.569463,220.553648,0.816865,34.290426,0.028864,{1CD4C602-D979-4654-B365-C5DD1EB43692}
165,13067031509,315.09,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,3244,6,0.000608,0,9869,U,9190.941936,0.931294,1509.039208,0.152907,2688.342512,0.948938,669.456827,0.844208,19.763206,0.006092,7022.589852,0.711581,1156.626583,0.117198,2137.963553,0.754664,480.397776,0.605798,17.091791,0.005269,{2721B14A-A2D3-4F64-B00E-880F62103228}
166,13067031113,311.13,ARC 10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,485,0,0,0,1027,U,728.475284,0.709324,242.281255,0.235912,162.101303,0.710971,9.75908,0.750699,51.293256,0.105759,0,0,0,0,0,0,0,0,0,0,{27CD6510-EDF4-424F-AEF9-D86F44EC9733}
167,13067031114,311.14,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,3421,0,0,1,6722,U,3328.882125,0.495222,1058.179538,0.15742,643.544208,0.483141,91.069635,0.408384,24.899985,0.007279,0,0,0,0,0,0,0,0,0,0,{B48E992D-9399-4F71-9262-3B74AF34B659}
168,13067030345,303.45,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2247,28,0.006057,1,4623,U,4623.00003,1,1623.735666,0.35123,922.000009,1,100,1,166.092213,0.073917,2313.052555,0.500336,422.889162,0.091475,328.357746,0.356136,36.116365,0.361164,9.424871,0.004194,{8B418B4C-8C93-4651-9961-361F478C222B}
169,13067030344,303.44,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1893,0,0,1,3601,U,3403.527639,0.945162,1316.530808,0.365601,625.565511,0.949265,97.974801,0.924291,47.685503,0.02519,230.836633,0.064103,60.812366,0.016888,30.220484,0.045858,6.173864,0.058244,1.128804,0.000596,{2EFBE57B-8F6A-4CB1-95BB-27CD56D7A92A}
170,13067030411,304.11,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1622,0,0,1,4214,U,4021.578722,0.954338,2507.11153,0.594948,1168.691009,0.968261,62.192215,0.914591,310.202943,0.191247,3632.836423,0.862087,2256.800675,0.535548,1063.499288,0.88111,52.395253,0.770518,286.093054,0.176383,{E176BB2E-85F4-4DE0-9EF6-360076F4C881}
171,13067030412,304.12,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1572,123,0.032574,1,3776,U,3775.961465,0.99999,1879.200924,0.49767,998.999989,1,204.980756,0.999906,294.599056,0.187404,3227.11648,0.854639,1552.362156,0.411113,879.178467,0.880059,169.285523,0.825783,244.491598,0.155529,{34ACF9B7-FB86-4E78-82C0-99F5ACCB9E52}
172,13067030414,304.14,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1323,0,0,1,2783,U,1375.883849,0.494389,870.701801,0.312864,398.879597,0.557874,10.32402,0.49162,56.849659,0.04297,0,0,0,0,0,0,0,0,0,0,{CED888F6-3197-49D3-A130-F6396433D9C8}
173,13067030413,304.13,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2290,0,0,1,5271,U,2232.526981,0.423549,1167.12314,0.221423,560.393025,0.412965,38.710467,0.383272,84.814944,0.037037,0,0,0,0,0,0,0,0,0,0,{1D0048F9-83D1-42C0-9D98-90C347F075D6}
174,13067030239,302.39,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2498,0,0,0,7610,U,6772.977506,0.89001,702.310297,0.092288,1961.274175,0.907577,546.290943,0.805739,6.78187,0.002715,4727.871314,0.621271,476.081589,0.06256,1375.011814,0.636285,350.621874,0.517141,3.961722,0.001586,{1B947BDE-DFAE-47A7-9295-F128A8CE6E8B}
175,13067030238,302.38,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2016,0,0,0,6505,U,6392.483998,0.982703,690.018079,0.106075,2084.623701,0.987505,375.941007,0.951749,14.49075,0.007188,5919.780121,0.910035,629.14763,0.096718,1956.378361,0.926754,324.673076,0.821957,13.674523,0.006783,{305EF606-D357-40F3-9993-4D03366245A8}
176,13067030236,302.36,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1401,0,0,0,4636,U,4636.000039,1,294.768154,0.063582,1527.999996,1,263,1,0,0,4247.387037,0.916175,272.913086,0.058868,1401.314478,0.917091,233.546762,0.888011,0,0,{A543DA01-13D5-4E2A-B72E-C345FF5F4151}
177,13067030407,304.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1981,0,0,0,4600,U,4600.000046,1,736.789638,0.160172,913.000007,1,706.000005,1,12.92231,0.006523,3915.006084,0.851088,559.774321,0.12169,768.53595,0.84177,636.263596,0.901223,7.12335,0.003596,{6A1C5ECB-1A00-4BC4-A01C-05C9AB0512AF}
178,13067030408,304.08,ARC 10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1360,0,0,0,3103,U,2177.670726,0.701795,415.458932,0.133889,396.103828,0.665721,329.924795,0.843797,14.661547,0.010781,348.310555,0.11225,59.597741,0.019206,47.099619,0.079159,68.620796,0.175501,0,0,{2624B4DB-0F73-4275-8571-3FE1857E28E9}
179,13067030410,304.10,ARC 10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2115,24,0.005125,0,4683,U,2235.469596,0.477358,589.994087,0.125986,523.416462,0.55388,313.415121,0.460228,57.097401,0.026996,220.229276,0.047027,53.982192,0.011527,48.278846,0.051089,40.040731,0.058797,4.37062,0.002066,{612E1E21-F435-4474-8442-150C334BAB38}
180,13067030409,304.09,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1207,0,0,0,3316,U,2814.192505,0.848671,204.938701,0.061803,691.685694,0.845582,421.86102,0.868027,12.565163,0.01041,860.36217,0.259458,66.734618,0.020125,177.790456,0.217348,162.711479,0.334797,0.416211,0.000345,{2F13229A-8408-4395-90D7-7E95F3B585D5}
181,13067030343,303.43,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1567,0,0,0,4726,U,4154.406209,0.879053,301.12839,0.063717,1188.777168,0.88781,285.511534,0.808815,0,0,1900.687764,0.402177,174.558146,0.036936,581.110507,0.433988,112.572656,0.318903,0,0,{9D4DB523-9B4A-4B6D-8E03-CE5E45836A4C}
182,13067030342,303.42,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1621,3,0.000637,0,4710,U,3625.174529,0.769676,314.91267,0.06686,993.070437,0.747231,287.570463,0.843315,0,0,1090.103665,0.231445,97.125455,0.020621,271.540635,0.20432,100.80918,0.295628,0,0,{A4D4FDFA-4176-416A-9036-6225C9FAFC97}
183,13067030340,303.40,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1249,0,0,0,3784,U,2999.973574,0.792805,201.239876,0.053182,838.587179,0.768641,196.522329,0.812076,5.983453,0.004791,1526.072915,0.403296,72.211285,0.019083,440.409907,0.403675,91.610538,0.378556,0.972135,0.000778,{10112B45-FB1E-4F75-905B-AF0B4D4A9F1E}
184,13067030341,303.41,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1490,0,0,0,4395,U,4395.00006,1,713.281106,0.162294,1233.000023,1,287.000006,1,0,0,3751.121008,0.853497,613.218121,0.139526,1042.824595,0.845762,246.363592,0.85841,0,0,{25DA93A8-30B3-496C-9E8E-462FF65568C9}
185,13067031409,314.09,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1892,0,0,0,5112,U,4673.909448,0.914302,1509.936783,0.295371,1307.407037,0.937209,373.284539,0.868104,84.761882,0.0448,4171.012567,0.815926,1343.284264,0.262771,1181.204491,0.846742,321.611401,0.747933,72.775453,0.038465,{BD98AE85-CD63-41D9-B489-7DB73E45CA40}
186,13067031408,314.08,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2019,9,0.001486,1,6056,U,5195.570944,0.857921,1943.933293,0.320993,1536.654788,0.873099,345.966645,0.789878,43.190416,0.021392,4040.01097,0.667109,1247.196985,0.205944,1204.133856,0.684167,261.695545,0.597478,28.391019,0.014062,{A19F2A1C-AA66-400A-A4DE-CED31C9FCBB8}
187,13067030107,301.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1535,0,0,0,4648,U,4543.878017,0.977599,746.375257,0.16058,1397.073942,0.991536,294.36234,0.881324,26.696523,0.017392,3738.736224,0.804375,622.045625,0.133831,1147.333474,0.814289,247.217817,0.740173,20.508088,0.01336,{A2F1726F-791B-4581-ABE2-9ED05FCE167A}
188,13067030106,301.06,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2626,0,0,1,6857,U,4334.939516,0.632192,1642.843947,0.239586,1301.968302,0.671464,260.812741,0.570706,62.858507,0.023937,697.062248,0.101657,212.307434,0.030962,219.520535,0.113213,55.149319,0.120677,0,0,{C7222456-356C-4123-9FF6-C342ED0FA270}
189,13067030505,305.05,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2878,0,0,1,6394,U,1944.9888,0.30419,1109.55336,0.17353,421.697588,0.291228,105.727753,0.36711,30.388306,0.010559,22.002726,0.003441,11.626378,0.001818,4.304883,0.002973,2.391601,0.008304,0.115478,4e-05,{1D371FED-35E0-475B-970F-F4B5ACE34D57}
190,13067030800,308,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1235,965,0.238154,1,4052,U,1520.544251,0.375258,954.57166,0.23558,153.141559,0.226206,75.020782,0.303728,39.368443,0.031877,15.429655,0.003808,11.309571,0.002791,0,0,0.292698,0.001185,2.365117,0.001915,{68B39543-4B4D-41E3-B3DC-53E657DFF254}
191,13067030902,309.02,ARC 10,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,2395,14,0.002396,1,5843,U,2709.058532,0.463642,1387.995834,0.237548,539.550904,0.388166,414.165514,0.712849,215.367176,0.089924,94.721064,0.016211,23.611745,0.004041,23.502745,0.016908,11.69656,0.020132,1.129502,0.000472,{A3E131F4-170D-443E-BFE1-F46F934FC685}
192,13067031311,313.11,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,3320,6,0.000656,1,9151,U,9151.000066,1,4623.846591,0.505283,2948.000033,1,348,1,221.129492,0.066605,9151.000066,1,4623.846591,0.505283,2948.000033,1,348,1,221.129492,0.066605,{5AB1233D-FC96-4E38-966E-F2725F40E852}
193,13067031406,314.06,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2991,443,0.058389,1,7587,U,5387.613757,0.710111,2491.646945,0.32841,1479.751453,0.717281,779.315439,0.802591,149.226953,0.049892,760.439306,0.100229,278.076005,0.036652,214.730055,0.104086,75.033364,0.077274,17.18381,0.005745,{5EEF6E25-E79F-4BB7-AF7C-4419E4F72950}
194,13067031405,314.05,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2774,52,0.00677,0,7681,U,7340.772273,0.955705,2341.428699,0.304834,2016.760171,0.957171,590.825691,0.945321,81.431038,0.029355,5051.336234,0.65764,1573.140398,0.204809,1383.136295,0.656448,409.500647,0.655201,56.60268,0.020405,{6F77A1EF-2191-4E70-B6AD-F2F970BAE5F0}
195,13067030320,303.20,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,3342,0,0,0,7206,U,6834.998326,0.948515,658.405497,0.091369,1449.196807,0.965488,573.763092,0.910735,83.758695,0.025062,4925.966562,0.683592,501.807251,0.069637,1094.193615,0.728976,360.157318,0.571678,61.847607,0.018506,{2BC5E641-6D86-4C90-AF4B-FA1351112403}
196,13067030318,303.18,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2796,8,0.001054,0,7588,U,7284.982576,0.960066,460.258698,0.060656,1884.208079,0.968745,1200.359266,0.951156,40.391608,0.014446,6527.483258,0.860238,414.622706,0.054642,1694.849486,0.871388,1081.930684,0.857314,40.391608,0.014446,{99735772-2B80-4918-9600-91E6AC37F642}
197,13067031005,310.05,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1655,18,0.003527,1,5104,U,4042.037146,0.791935,1781.546836,0.349049,1212.998499,0.801717,398.701119,0.783303,21.692754,0.013107,2701.779026,0.529345,1057.035257,0.207099,836.881217,0.553127,203.045257,0.39891,10.08361,0.006093,{65880973-8DBA-4C13-96F2-A42BD99E3C5D}
198,13067031002,310.02,ARC 10,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,2902,230,0.026989,1,8522,U,4622.208395,0.542385,2465.135239,0.289267,1382.089005,0.522924,477.882571,0.667434,166.664251,0.057431,390.335937,0.045803,171.714747,0.02015,97.589394,0.036924,110.061396,0.153717,6.589018,0.002271,{25E2060A-3757-4270-A088-37E5B73E1605}
199,13067030904,309.04,ARC 10,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,2163,6,0.000981,1,6116,U,3663.572684,0.599015,1476.707472,0.24145,1073.177247,0.573278,290.014211,0.767233,149.200969,0.068979,0.326131,5.3e-05,0.082854,1.4e-05,0.069035,3.7e-05,0.023805,6.3e-05,0.009909,5e-06,{7591FFCC-D178-4610-907D-B799A0A28E58}
200,13067030901,309.01,ARC 10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3096,4,0.000522,0,7655,U,3493.256567,0.456337,190.410711,0.024874,814.102384,0.433033,576.070221,0.598826,7.251056,0.002342,394.956763,0.051595,0.218426,2.9e-05,96.978496,0.051584,66.527914,0.069156,0,0,{54E94FFC-0FF4-4249-B4E1-6F4878F93854}
201,13067031503,315.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2764,5,0.000599,0,8350,U,7944.158667,0.951396,2509.394401,0.300526,2290.603535,0.955214,633.432281,0.931518,91.219256,0.033003,6412.131638,0.76792,2010.673997,0.240799,1857.433266,0.774576,496.615337,0.730317,67.526186,0.024431,{1BC88618-DD51-4A8F-B596-9262EDB253D6}
202,13067031307,313.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2241,34,0.005743,0,5920,U,4840.130815,0.81759,681.707302,0.115153,1096.080046,0.790252,551.369015,0.839222,13.898357,0.006202,2556.51228,0.431843,313.815228,0.053009,597.112714,0.430507,280.011894,0.426198,8.231759,0.003673,{FC49C9EF-C9F0-4178-8DB7-1F0E63B6682A}
203,13067031308,313.08,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1673,6,0.001256,1,4776,U,4490.669423,0.940257,1880.987598,0.393842,1243.650022,0.946461,399.572742,0.914354,28.009069,0.016742,3076.84508,0.644231,1258.959231,0.263601,852.516588,0.648795,268.974105,0.615501,18.957212,0.011331,{DD3C3623-73B7-4525-A3F8-A280DFA8F731}
204,13067030319,303.19,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1603,0,0,0,3916,U,2765.978451,0.706327,331.935641,0.084764,758.62375,0.767061,336.227786,0.640434,15.290382,0.009539,1099.713874,0.280826,108.669006,0.02775,302.564054,0.305929,102.870732,0.195944,8.572687,0.005348,{1FB19928-4E84-4B09-8635-DB245AD1B36F}
205,13067030333,303.33,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2197,2,0.000331,0,6034,U,6033.999981,1,805.468197,0.133488,1528.999996,1,942.999999,1,15.151261,0.006896,5350.312379,0.886694,714.770012,0.118457,1320.770307,0.863813,859.923204,0.911902,14.012103,0.006378,{8D20F8E9-3AF3-42F5-AD78-DD138D585C34}
206,13067030332,303.32,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1132,0,0,0,3148,U,2516.119288,0.799276,173.022234,0.054963,694.682857,0.82406,277.42168,0.739791,21.284815,0.018803,1011.137532,0.3212,10.614566,0.003372,287.702385,0.341284,103.266457,0.275377,7.385694,0.006524,{8856056C-EB16-4FB5-9FF4-04E0D1F1F191}
207,13067030335,303.35,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1703,0,0,0,4886,U,4886.000023,1,349.562338,0.071544,1326.000002,1,511.000001,1,0,0,3409.677761,0.697846,243.364162,0.049808,941.398994,0.709954,347.250348,0.679551,0,0,{5AAAC15F-090B-4808-B667-D178F99CC195}
208,13067031106,311.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2989,88,0.010699,0,8225,U,6316.557705,0.767971,1489.368147,0.181078,1674.694968,0.772461,650.066765,0.704298,73.579724,0.024617,2281.192513,0.277349,697.330553,0.084782,523.742009,0.241578,291.482096,0.315799,17.934528,0.006,{DA3D300E-6212-4E9B-9CB9-0203D65A7303}
209,13067030331,303.31,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1957,5,0.000895,0,5587,U,5587.000031,1,217.680699,0.038962,1472.999999,1,594.000004,1,16.008956,0.00818,5381.27197,0.963177,208.82658,0.037377,1417.196096,0.962115,565.100549,0.951348,16.008956,0.00818,{B575CF2D-C7AE-4387-B133-9158043440B2}
210,13067030322,303.22,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1182,0,0,0,3361,U,3036.284211,0.903387,435.186328,0.129481,800.44735,0.889386,301.001693,0.934788,17.948629,0.015185,1927.504453,0.573491,312.997579,0.093126,522.706676,0.580785,186.995897,0.580733,7.579968,0.006413,{A8E42D98-50E2-4DF7-A759-040A832A6839}
211,13067031112,311.12,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1995,110,0.023163,0,4749,U,4748.999989,1,1100.59974,0.231754,1121.999992,1,549.999996,1,11.526639,0.005778,3730.048396,0.785439,896.500463,0.188777,920.038728,0.819999,388.140103,0.705709,5.258064,0.002636,{B7D54B54-7D08-488A-A74B-BE108C37AC33}
212,13067030504,305.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2273,0,0,0,5972,U,5666.611571,0.948863,1616.114354,0.270615,1438.404491,0.950069,463.0601,0.93927,172.966514,0.076096,2423.859092,0.405871,763.708741,0.127882,649.038629,0.428691,175.947026,0.356891,85.344676,0.037547,{73842294-F011-4D76-B53E-482139C74FBB}
213,13067030327,303.27,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1566,5,0.001136,0,4402,U,3301.875265,0.750085,217.161078,0.049332,802.296173,0.712519,407.313197,0.834658,15.926189,0.01017,923.747095,0.209847,104.572118,0.023756,202.236509,0.179606,120.247371,0.246409,0.939191,0.0006,{01610F24-B11A-4B8E-B27F-E8E5721553BE}
214,13067030329,303.29,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1613,0,0,0,4416,U,3639.825812,0.824236,265.886212,0.06021,927.150884,0.824867,362.802588,0.818967,18.576381,0.011517,1818.504913,0.411799,133.161311,0.030154,440.796739,0.392168,187.906197,0.424167,9.416482,0.005838,{953B47AA-0FAB-49C9-977B-5AB5F8697484}
215,13067030339,303.39,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3088,0,0,0,5268,U,3957.958939,0.751321,862.912649,0.163803,495.858486,0.779652,79.792258,0.557988,139.20006,0.045078,3001.093169,0.569684,652.683104,0.123896,381.086026,0.599192,63.863006,0.446594,104.989608,0.033999,{6328552D-F5F0-4E7A-84DC-617560EB2FD7}
216,13067030314,303.14,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2625,11,0.001426,0,7714,U,6835.140557,0.88607,939.628768,0.121808,1944.172676,0.868322,584.416759,0.936565,77.188615,0.029405,2991.754592,0.387834,452.234293,0.058625,796.487986,0.355734,289.418991,0.463812,30.405555,0.011583,{090DEC3C-27DD-48DC-9D45-460E633696CA}
217,13067030336,303.36,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2407,0,0,0,7343,U,6141.442205,0.836367,252.597558,0.0344,1859.058321,0.837791,453.034428,0.825199,71.178885,0.029572,3197.69711,0.435476,84.810127,0.01155,972.346513,0.438191,232.889568,0.424207,35.046371,0.01456,{7638A6EF-9916-4705-AF44-8380671A97E3}
218,13063040411,404.11,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,4203,18,0.001488,0,12101,U,11299.415419,0.933759,2770.599257,0.228956,3337.298614,0.931686,654.198183,0.944009,55.231177,0.013141,7864.378589,0.649895,1654.756439,0.136745,2358.46869,0.658422,432.344908,0.623874,28.104101,0.006687,{7AC7C132-5B1A-488C-9C45-2EB00AD4F0F3}
219,13063040512,405.12,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1848,0,0,1,5076,U,3201.116101,0.630638,1062.644364,0.209347,913.954849,0.641372,188.601214,0.698523,95.493322,0.051674,1242.400122,0.24476,286.444156,0.056431,317.372746,0.222718,99.358652,0.367995,7.001398,0.003789,{2E94909F-4363-4268-B5D9-9C43B93F0D04}
220,13063040608,406.08,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3903,0,0,0,11426,R,9236.331613,0.808361,1838.078169,0.160868,2557.829697,0.763076,712.492629,0.898477,84.001669,0.021522,6994.214317,0.612131,1464.572988,0.128179,1883.955978,0.562039,585.894834,0.738833,59.200526,0.015168,{CC55FEA3-1BF7-4434-ACEA-0DBFFDCCE426}
221,13063040614,406.14,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1839,0,0,0,4680,U,4680.000067,1,634.28072,0.13553,835.000012,1,920.000009,1,104.592926,0.056875,4680.000067,1,634.28072,0.13553,835.000012,1,920.000009,1,104.592926,0.056875,{164B879E-9B65-4BCA-B0A3-8024803F6AA5}
222,13063040606,406.06,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1026,855,0.235927,1,3624,R,2667.491074,0.736063,965.295537,0.266362,477.053674,0.597812,202.867295,0.801847,11.266698,0.010981,1062.183314,0.293097,354.833223,0.097912,209.313544,0.262298,114.403347,0.452187,4.84378,0.004721,{D942E544-36E4-40C6-B657-4E72A401406F}
223,13063040612,406.12,ARC 10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1840,1783,0.258743,1,6891,U,3106.382492,0.450788,1003.271561,0.145592,722.154386,0.444676,144.100566,0.358459,59.283916,0.03222,93.184394,0.013523,15.565791,0.002259,31.032095,0.019108,7.312816,0.018191,0,0,{194262C7-9EDC-49B9-84B9-7E05921E44D8}
