OBJECTID,TIAID,PRJ_NAME,PURPOSE,PRJ_TYPE,SHORTSCOPE,PRJ_LENGTH,JURISDICTN,SUBREGION,ASSET_MNG,RDWY_CAP,FREIGHT,SAFETY_OP,AVIATION,BIKE_PED,TRANS_CAP,PLN_2040,TRANS_OP,RELATED_ID,FED_FUNDS,TIA_FUNDS,LOC_FUNDS,TOTALFUNDS,GlobalID,last_edited_date
39,TIA-FA-006,SR 85 Phase 1 from Bernhard Road to Grady Avenue - Widening,"This project is a 5.4 mile long road widening project along SR 85, south of Fayetteville.  The project's limits are Bernhard Road to the south and Grady Avenue to the north.  Growth within Fayetteville and surrounding regions has resulted in safety and c",Roadway,"This project will widen SR 85 from two to four lanes between Berhard Road and Grady Avenue, south of Fayetteville. The project will address congestion caused by existing lane reductions within the city limits of Fayetteville (between Ramah Road and Grady",5.4,Fayette,Southwest Subregion,No,Yes,Yes,Yes,No,No,No,Project identified as line item in PLAN 2040 with northern section planned for construction in 2018-2030 timeframe and southern section planned for construction beyond 2040,No,"FA-085; ASP-FA-348",12000000,12000000,0,24000000,{796105A2-6066-46A2-AE38-7FA15032ABE9},
40,TIA-FA-010,South Industrial Park Path Connection,This project consists of a 10' wide asphalt multi-use path with 2' shoulders starting at the recently finished Flat Creek Bridge which connects the industrial park to the existing 100+ mile network of multi-use paths.  This project will enhance pedestria,Bike/Ped,This project will construct a 10-foot wide asphalt path with 2-foot shoulders starting at the recently finished Flat Creek Bridge. It will connect the industrial park to the existing 100+ mile network of paths and enhance pedestrian / bicyclist / golf ca,2.5,Fayette,Southwest Subregion,No,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on expanding modal options",No,N/A,0,1210000,0,1210000,{3926F25E-C798-474F-A09E-97362CED7ABD},
41,TIA-FA-013,SR 92 from Jimmy Mayfield Boulevard to McBride Road - Widening,"This project is a 3.4 mile long road widening (two to four lanes) along SR 92, south of Fayetteville.  The project's limits are McBride Road to the south and Jimmy Mayfield Boulevard to the north.  Growth within Fayetteville and surrounding areas has res",Roadway,"This project will widen SR 92 from two to four lanes between Jimmy Mayfield Road and McBride Road, south of Fayetteville.  Growth within Fayetteville and surrounding areas has resulted in safety and congestion problems at multiple locations along this se",3.4,Fayette,South Subregion,No,Yes,No,Yes,No,No,No,Project identified as a line item in PLAN 2040 with construction planned beyond 2040,No,ASP-FA-003,0,15900000,0,15900000,{B227B8A7-8AE0-4F9A-9210-6E318A065A4A},
42,TIA-FA-014,SR 85 from Bernhard Road to SR 74 - Operational Improvements,"This project is a 3.3 mile long operational improvement project along SR 85, south of Fayetteville.  The project's limits are SR 74 to the south and Bernhard Road to the north.  Improvements will target safety and efficiency improvements at existing inte",Roadway,"This project will involve operational improvements along SR 85 between Bernhard Road and SR 74, south of Fayetteville.  The purpose of the project is to improve safety and traffic flow via intersection upgrades.  Fayette County's 2010 Comprehensive Trans",3.3,Fayette,Southwest Subregion,No,Yes,Yes,Yes,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements instead of major capacity expansion; widening project is proposed beyond 2040",No,N/A,0,5900000,0,5900000,{ACD85BB1-65F3-496F-A194-8E71B8803194},
43,TIA-FA-022,Southeast Industrial Park Path Connection,This project consists of a 10' wide asphalt with 2' shoulders that will start at the recently finished Flat Creek Bridge which connects the industrial park to Peachtree City's existing 100+ mile network of multi-use paths.  This project will enhance pede,Bike/Ped,This project will construct a 10-foot wide asphalt path with 2-foot shoulders. It will begin at the recently finished Flat Creek Bridge and connect the industrial park to Peachtree City's existing 100+ mile network of paths. It will enhance pedestrian /,1.6,Fayette,Southwest Subregion,No,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on expanding modal options",No,N/A,0,1150000,0,1150000,{E1F04865-3118-4D8B-B64D-2A7E8C246071},
44,TIA-FA-026,SR 92 to SR 138 Connector - New Alignment from SR 138 in Fulton County to SR 92 in Fayette County,"This project will improve connectivity between two Regional Thoroughfares, SR 92 in north Fayette County and SR 138 in south Fulton County, and increase accessibility to and from Interstate I-85.  The existing roads between SR 92 and SR 138 are under-des",Roadway,"This project will involve creation of a new corridor linking SR 138 to SR 92, improving connectivity between these two regional thoroughfares and accessibility to I-85. The project will enhance safety, relieve congestion and spur economic growth via new",2.2,Fayette/Fulton,Southwest Subregion,No,Yes,Yes,Yes,No,No,No,Not identified as a line item in PLAN 2040,No,N/A,0,18300000,0,18300000,{E8361762-EC42-4AD1-8346-4CE16645005F},
45,TIA-FA-028,SR 92 (Forrest Avenue) from SR 85 (Glynn Street) in Fayette County to Oakley Industrial Boulevard in Fulton County - Operational Improvements,"This project involves operational improvements along a portion of SR 92 with the goal of improving traffic flow and safety, particularly at intersections.  The project is 9.7 miles long and extends from Fayetteville to Oakley Industrial Boulevard near Fa",Roadway,"This project involves operational improvements along SR 92 from SR 85 in Fayetteville to Oakley Industrial Boulevard near Fairburn and Union City, with the goal of improving safety and traffic flow at existing intersections.  Based on concepts proposed i",9.7,Fayette,Southwest Subregion,No,No,No,Yes,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements instead of major capacity expansion; widening project is proposed beyond 2040",No,ASP-FA-347,0,20000000,0,20000000,{286F4318-DB4F-47A1-931B-BA84DB95727D},
46,TIA-M-009,MARTA Aerial Structure Rehabilitation,"This program will renovate elements of the structures supporting the aerial sections of MARTA’s rail lines, and it includes efforts to renovate pedestrian bridges over MARTA and adjacent railroad track way, replace expansion joints between sections of ae",Transit,"This program will renovate elements of the structures supporting the aerial sections of MARTA’s rail lines, and it includes efforts to renovate pedestrian bridges over MARTA and adjacent railroad track way, replace expansion joints between sections of ae",N/A,Regional,Regional,No,No,No,No,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on preservation of existing transit services",Yes,N/A,0,90000000,2700000,92700000,{764087B4-74D2-41F7-AFC0-9F26D3798A57},
47,TIA-DK-007,Decatur to Clifton Corridor - Transit Connectivity and Safety Improvements,"This project will redesign existing roads and intersections to create complete streets connecting the 19,000+ Decatur residents and those traveling on MARTA’s East/West line to the Clifton Corridor regional employment center and proposed transit improvem",Bike/Ped,"This project complements the Clifton Corridor transit project by providing sidewalks and bicycle lanes on Claremont Road and Church Street, which will link with a planned transit station in the vicinity of Claremont Road and North Decatur Road. Additiona",3.2,DeKalb,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on preservation of existing transit services",No,N/A,0,5000000,0,5000000,{14262A35-9255-4F93-9976-070348A6AE33},
48,TIA-DK-014,Ashford Dunwoody Road from SR 141 (Peachtree Road) to I-285 North - Corridor Improvements,"This project funds a thorough examination of the important Ashford-Dunwoody Road corridor, from I-285 to Peachtree Industrial Boulevard. The recommended project management approach to the evaluation is to initially perform traffic analysis and environmen",Roadway,"This project funds a thorough examination of the important Ashford-Dunwoody Road corridor, from I-285 to Peachtree Industrial Boulevard. This corridor provides additional access to the ""Pill Hill"" cluster of hospitals and connects the Dunwoody / Perimete",3.2,DeKalb,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation",No,N/A,0,5000000,0,5000000,{199B6B5D-BB18-4EDE-92AC-1CEC325E7C52},
49,TIA-DK-018,"SR 13 (Buford Hwy) from Lenox Road to Shallowford Terrace - Pedestrian, Landscape and BRT Improvements","This project will expand the limits of the current streetscape projects along SR 13 (Buford Highway) and eliminate the sidewalk/streetscape gap between Afton Road and Shallowford Terrace.  Design features may include raised medians, sidewalks, landscapin",Bike/Ped,"This project seeks to improve pedestrian access and safety on the Buford Highway corridor from Lenox Road to Shallowford Terrace. Expected design elements include raised medians, enhanced pedestrian crossings, intersection improvements and upgraded traff",5.0,DeKalb,Central Subregion,No,No,No,Yes,No,Yes,No,"Pedestrian elements - project identified as line item in PLAN 2040 project with construction planned in FY 2013; BRT elements - within limits of Aspirations project for corridor.",No,"DK-324D, ASP-AR-488",0,12000000,0,12000000,{AB94321C-D546-4FE9-90AA-AEB16D214C7F},
50,TIA-DK-021,Clifton Road at CSX Railroad - Bridge Replacement and Associated Improvements to Haygood Road,"This project will rebuild and expand the bridge over CSX Railroad, add sidewalks and bike lanes, and resurface and realign Haygood Road.  The project contains design elements that have been coordinated with the Emory University Master Plan, Emory Village",Roadway,This project is designed to decrease congestion and improve access to the busy Emory University / Centers for Disease Control activity center. Rebuilding the bridge on Clifton Road at the CSX railroad helps improve operations on Clifton Road and accommod,0.5,DeKalb,Central Subregion,Yes,No,No,No,No,Yes,No,"Project recognized by PLAN 2040 as advancing locally, but with no construction schedule defined",No,ORP-DK-219,0,25000000,0,25000000,{213EF196-5B47-4021-B135-143D083322A1},
51,TIA-DK-022,US 278 (College Avenue / North Avondale Road) from Adair Street / Atlanta Avenue to North Clarendon Avenue - Corridor Improvements,This project provides a complete street that connects the cities of Decatur and Avondale Estates by improving US 278 (College Avenue / North Avondale Road) from Adair Street / Atlanta Avenue in Decatur to North Clarendon Avenue in Avondale Estates.  It i,Roadway,"This project provides a complete street that connects the cities of Decatur and Avondale Estates by improving College Avenue from Adair Street in Decatur to North Clarendon Avenue in Avondale Estates. Enhancements may include additional sidewalks, bicycl",2.3,DeKalb,Central Subregion,Yes,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation",No,N/A,0,5000000,0,5000000,{7685D795-E120-4E40-931B-27FEDFB37C9D},
52,TIA-DK-029,Glenwood Road from SR 155 (Candler Road) to US 278 (Covington Highway) - Corridor Improvements,"This project seeks to improve pedestrian access and safety on Glenwood Road, from Candler Road to Covington Highway. Glenwood Road, with approximately 18,000 vehicles per day, is traditionally one of the top three corridors in DeKalb County for pedestria",Roadway,"This project seeks to improve pedestrian access and safety on Glenwood Road, from Candler Road to Covington Highway. Expected design elements include raised medians, sidewalks, enhanced pedestrian crossings, intersection improvements and upgraded traffic",4.1,DeKalb,Central Subregion,Yes,No,No,Yes,No,Yes,No,"Western half of project included in PLAN 2040 as DK-032B with construction in 2018-2030 timeframe, but eastern half of project not identified as line item in the PLAN 2040",No,DK-032B,0,5000000,0,5000000,{E8A8F2F3-8EDA-4A32-B4E5-A419F3F1E848},
53,TIA-DK-030,Hayden Quarry Road / Sigman Road Extension from Turner Hill Road to I-20 East - New Alignment,This project will extend Sigman Road south of I-20 on a new alignment from the I-20  interchange (Exit 78) in Rockdale County to Hayden Quarry Road in DeKalb County.  The 4 lane road extension will provide an alternate route for access to the Stonecrest,Roadway,This project results in an extension of Hayden Quarry Road from its current terminus to the Sigman Road / I-20 East interchange. This new four lane roadway will provide additional access to the Stonecrest Mall activity center and reduce congestion at the,1.6,DeKalb/Rockdale,East Subregion,No,Yes,No,No,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned in 2031-2040 timeframe,No,DK-327A & RO-235A,0,27000000,0,27000000,{F2951958-2A25-4066-AE8E-2F61BF1B980A},
54,TIA-DK-033,North Indian Creek Drive from SR 10 (Memorial Drive) to Montreal Road - Corridor Improvements,"This project seeks to improve pedestrian access and safety on North Indian Creek Road, from Montreal Road in the City of Clarkston to SR 10 (Memorial Drive). The corridor carries approximately 12,000 vehicles per day with a significant transit and pedest",Roadway,"This project seeks to improve pedestrian access and safety on North Indian Creek Road, from Montreal Road in the City of Clarkston to Memorial Drive. Expected design elements include raised medians, sidewalks, bicycle lanes, enhanced pedestrian crossings",1.9,DeKalb,East Subregion,Yes,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation",No,N/A,0,5000000,0,5000000,{68FF11D6-45D2-4AFD-8FE1-AE44782DF884},
55,TIA-DK-042,North Druid Hills Road from SR 13 (Buford Highway) to US 29 (Lawrenceville Highway) - Corridor Improvements,"This project seeks to improve the operation and overall safety of the busy North Druid Hills Road corridor from US 23 (Buford Highway) to US 29 (Lawrenceville Highway). The corridor carries between 25,000 and 50,000 vehicles per day, depending on the sec",Roadway,"This project seeks to improve the operation and overall safety of the busy North Druid Hills Road corridor from Buford Highway to Lawrenceville Highway. While further public outreach will be necessary to determine the final design of the project, possibl",4.6,DeKalb,Central Subregion,Yes,No,No,Yes,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation",No,N/A,0,25000000,0,25000000,{6EB57BEF-3EC2-4C8F-BC2D-50001B8E1FB8},
56,TIA-DK-048,Rockbridge Road from SR 10 (Memorial Drive) to SR 124 (Rock Chapel Road) - Corridor Improvements,"This project improves Rockbridge Road from SR 10 (Memorial Drive) to SR 124 (Rock Chapel Road), which is a major east/west connector and alternative to the Stone Mountain Freeway. The corridor carries approximately 10,000 to 21,000 vehicles per day, depe",Roadway,"This project improves Rockbridge Road from Memorial Drive to Rock Chapel Road, which is a major east/west connector and alternative to the Stone Mountain Freeway. Specific elements of this project incorporate citizen input and include additional turn lan",9.6,DeKalb,East Subregion,Yes,No,No,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction for western half of project (DK-342A & DK-AR-BP049) planned for 2018-2030 timeframe.  No timeframe for ORP-DK-342B.,No,"DK-342A, DK-AR-BP049, ORP-DK-342B",0,7500000,0,7500000,{CD720035-981E-4273-9298-AB95C7F98998},
57,TIA-HE-003,SR 155 (North McDonough Road) from Bill Gardner Parkway to Racetrack Road - Widening (Phase 1),This project will widen SR 155 from two to four lane between Bill Gardner Parkway and Racetrack Road. The project starts at the intersection of SR 155 & Bill Gardner Parkway in the Luella area of Henry County and continues north through the heavily devel,Roadway,"This project will widen SR 155 from two to four lanes, beginning at the intersection of Bill Gardner Parkway in the Luella area, north to I-75, and then ultimately to Racetrack Road in McDonough.  Completion of this project will reduce the chronic conges",5.8,Henry,Southeast Subregion,No,Yes,Yes,No,No,No,No,"Project identified as line item in PLAN 2040 (different termini); construction north of I-75 planned for 2018-2030, construction south of I-75 planned beyond 2040",No,"HE-113; ASP-HE-189",0,48000000,0,48000000,{8893FDB0-F58C-4FF9-8AB2-845B9E7DA716},
58,TIA-HE-005,Bill Gardner Parkway from SR 155 (North McDonough Road) to I-75 South - Widening,"This project will involve widening Bill Gardner Parkway from two to four lanes between SR 155 and Lester Mill Road. Additionally, from Lester Mill Road to I-75 in Locust Grove, the corridor will be widened from two to six lanes.  This project is currentl",Roadway,"This project will involve widening Bill Gardner Parkway from two to four lanes between SR 155 and Lester Mill Road.  Additionally, from Lester Mill Road to I-75 in Locust Grove, the corridor will be widened from two to six lanes.  The project also propos",3.4,Henry,Southeast Subregion,No,Yes,No,No,No,No,No,Project identified as a line item in PLAN 2040 with construction planned for 2018-2030,No,HE-126B,0,27000000,0,27000000,{929125B6-E0D9-4240-B250-8B4E66D13A19},
59,TIA-HE-008,SR 20/81 (Hampton Street / Keys Ferry Road) from Jonesboro Road at Norfolk Southern Railroad to Lemon Street - Extension and Upgrade of One-Way Pair through McDonough,"This project extends the one-way pair network through the City of McDonough.  Jonesboro Street will be converted to two lanes in the westbound direction, while a new (yet-to-be-named) street will feature two lanes in the eastbound direction.  The project",Roadway,"This project extends the one-way pair network through the City of McDonough.  Jonesboro Street will be converted to two lanes in the westbound direction, while Keys Ferry Street will be converted to two lanes in the eastbound direction.  Besides mitigati",1.1,Henry,Southeast Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2017,No,HE-020B,0,11000000,0,11000000,{3F2585B2-95C5-49C5-8CE4-1F7132FE82D9},
60,TIA-HE-011,Western Parallel Connector from Hudson Bridge Road to SR 920 (Jonesboro Road) - New Alignment,This project involves construction of a  two lane roadway with an urban design and a median along a three mile stretch parallel to I-75 on the west side. The project traverses the unincorporated boundaries of Henry County and the city limits of Stockbrid,Roadway,"This project involves construction of a two-lane roadway, running parallel and to the west of I-75.  This new roadway is intended to provide local travelers with a direct and time saving route between Jonesboro Road and Hudson Bridge Road.   The Western",3.2,Henry,Southeast Subregion,No,Yes,No,No,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2015,No,HE-179,0,17000000,0,17000000,{3630FA85-4FEC-488F-B57E-6F5AB6AEAFBA},
61,TIA-DK-069,Mt. Vernon Road from Fulton County Line to Dunwoody Club Drive - Corridor Improvements,"This project will relieve congestion, improve safety and provide multimodal transportation options along the heavily traveled Mt. Vernon Road commuter corridor. Most of the Mount Vernon corridor, which is a major east/west connection between the Peachtre",Roadway,"This project will deploy turn lanes, bicycle lanes, sidewalks and intersection improvements throughout the Mt. Vernon Road corridor from the Fulton County Line to Dunwoody Club Road. This roadway provides crucial east/west connectivity in northern Dekalb",3.2,DeKalb,North Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation",No,N/A,0,12000000,0,12000000,{2A539F9B-5291-43ED-9D87-AB6D2CAAF522},
62,TIA-RO-001,Sigman Road from Lester Road to Dogwood Connector - Widening and Corridor Improvements,"This project will improve congestion and safety by widening Sigman Road from two to four lanes between Lester Road and the Dogwood Connector. Sigman Road is a vital arterial and is designated as a Regional Thoroughfare, providing access to I-20 for traff",Roadway,"This project will improve congestion and safety by widening Sigman Road from two to four lanes between Lester Road and the Dogwood Connector. Sigman Road is a critical corridor for cars and freight in Rockdale, Gwinnett and Walton counties as it connects",6.4,Rockdale,East Subregion,No,Yes,No,No,No,No,No,"Project identified as line item in three PLAN 2040 projects along corridor; construction on western end planned for 2017, in middle section for 2018-2030 timeframe and on eastern end for 2031-2040",No,"RO-235C; RO-235D; RO-235E1",0,30000000,0,30000000,{7351DEB5-6867-445A-801C-CDA10786D980},
63,TIA-RO-003,Commerce Crossing from Old Salem Road to Old Covington Highway - New Alignment and Overpass at I-20 East,"This project will construct a non-access bridge over I-20 to greatly improve connectivity the City of Conyers' major commercial activity center with areas south of I-20.  In doing so, it help relieve the severe congestion at the SR 138 / SR 20 interchang",Roadway,"This project connects people south of I-20 with Conyers’ busiest activity center on the north side of I-20 with a new bridge and connecting roadways. This project will ease congestion at the SR 138 / I-20 interchange, making travel safer.  The total cost",0.8,Rockdale,East Subregion,No,Yes,Yes,Yes,No,No,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,RO-243,0,25900000,0,25900000,{A4DA695E-EBA4-432C-ABD8-75F49217A637},
64,TIA-GW-003,US 23 (Buford Highway) from George Pierce Park to McGinnis Ferry Road - Corridor Improvements,This project will convert US 23 (Buford Highway) into a multimodal transportation corridor that is sensitive to the existing and future environment of the surrounding area.  The project will extend from McGinnis Ferry Road to the entrance of George Pierc,Roadway,"This project will convert Buford Highway into a multi-modal transportation corridor that is sensitive to the existing and future environment of the surrounding area in accordance with the City of Suwanee 2030 Plan, the Downtown Suwanee Master Plan and th",1.6,Gwinnett,Northeast Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements instead of major capacity expansion",No,N/A,0,5500000,0,5500000,{5985016E-3E38-41FC-A1F7-E90B83433E03},
65,TIA-GW-004,US 23 (Buford Highway) from Old Peachtree Road to Sugarloaf Parkway - Widening and Corridor Improvements,"This project will widen US 23 (Buford Highway) from two to four lanes between Old Peachtree Road and Sugarloaf Parkway and also make associated safety improvements along the corridor.  This roadway was initially designed to be a rural facility, not inten",Roadway,"This project will widen US 23 (Buford Highway) from two to four lanes between Old Peachtree Road and Sugarloaf Parkway and also make associated safety improvements along the corridor. Originally, this roadway was initially designed to be a rural facility",1.1,Gwinnett,Northeast Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2031-2040 timeframe,No,GW-099A,0,14000000,0,14000000,{CDCC7129-2A1C-490C-9C3C-36E0A5AC8844},
66,TIA-GW-006,US 23 (Buford Highway) from Sawnee Avenue to SR 347 in Hall County - Widening,"This project will widen Buford Highway from two to four lanes between Sawnee Avenue and SR 347 in Hall County.  By 2020, household growth in this corridor is projected to increase by 91% and employment is expected to increase by 58%. By 2020, the corrido",Roadway,"This project will widen Buford Highway from two to four lanes between Sawnee Avenue and SR 347 in Hall County, a corridor which is forecasted to experience significant household and employment growth over the next 10 years.  The total cost of the project",1.6,Gwinnett,Northeast Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2016,No,GW-099C,20000000,8000000,0,28000000,{EA2C063B-A5F3-4929-9E1B-A16D50F47DFC},
67,TIA-RO-008,Flat Shoals Road from SR 162 (Salem Road) to Old Salem Road - Widening,"This project will widen Flat Shoals Road from two to four lanes between SR 162 (Salem Road) and Old Salem Road, thus creating a continuous four lane facility between SR 138 / SR 20 and SR 162.  This will make the roadway a legitimate alternative to I-20",Roadway,"This project will widen Flat Shoals Road from two to four lanes between Salem Road and Old Salem Road, making the roadway a legitimate alternative to I-20. Flat Shoals Road is a critical corridor for the eastern portion of the metro area, taking drivers",1.4,Rockdale,East Subregion,No,Yes,No,No,No,No,No,Project identified as a line item in PLAN 2040 with construction planned in 2031-2040 timeframe,No,RO-025C,0,11400000,0,11400000,{4BF53366-6AFB-4CE2-B548-3F0A77C474EF},
68,TIA-GW-042,Pleasant Hill Road from Howell Ferry Road to Chattahoochee River - Widening (Includes Bridge),This project will widen Pleasant Hill Road from four to six lanes between Howell Ferry Road and the Chattahoochee River.  This is necessary to meet existing and projected traffic needs on one of the most congested regional corridors. In addition to enhan,Roadway,This project will widen Pleasant Hill Road from four to six lanes between Howell Ferry Road and the Chattahoochee River.  This is necessary to meet existing and projected traffic needs on one of the most congested regional corridors. In addition to enhan,1.1,Gwinnett,Northeast Subregion,No,Yes,No,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for LR 2031-2040,No,GW-271B,0,11600000,0,11600000,{5F12F819-B821-49DB-9825-BBBD6B071994},
69,TIA-GW-048,SR 20 (Nelson Brogdon Boulevard / Cumming Highway) from Peachtree Industrial Boulevard to Chattahoochee River - Widening,"This project will widen SR 20 (Nelson Brogdon Boulevard / Cumming Highway) from two to four lanes between Peachtree Industrial Boulevard and the Chattahoochee River.  The purpose of the project is to improve east-west mobility along SR 20, which is desig",Roadway,"This project will widen SR 20 from two to four lanes between Peachtree Industrial Boulevard and the Chattahoochee River.  With SR 20 currently experiencing high traffic volumes, the widening of this section of the roadway and the adjacent section in Fors",4.2,Gwinnett,Northeast Subregion,Yes,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2015,No,GW-020A1 & GW-020A2,32000000,8000000,0,40000000,{5B536564-C5F5-4A73-9800-EA4086504DDB},
70,TIA-GW-049,SR 20 (Buford Drive) from I-985 to US 23 (Buford Highway) - Widening,This project will widen SR 20 (Buford Drive) from four to six lanes between I-985 and Buford Highway.  The purpose of the project is to meet existing and projected traffic needs. The resulting reduction in traffic congestion will save traveling time and,Roadway,This project will widen SR 20 from four to six lanes between I-985 and Buford Highway. SR 20 is one of the most congested regional corridors and serves origins or destinations of trips to/from and within major existing and proposed employment and activit,1.3,Gwinnett,Northeast Subregion,No,Yes,Yes,Yes,No,No,No,Not identified as a line item in PLAN 2040,No,N/A,0,4100000,0,4100000,{5F9429D4-3804-4AC4-9F08-187A2E36BBF8},
71,TIA-GW-052,SR 120 (Duluth Highway) from Langley Drive to SR 317 (Lawrenceville Suwanee Road) - Widening,"This project will widen SR 120 (Duluth Highway) from four to six lanes between Langley Drive and Lawrenceville Suwanee Road.  Serving points of origin and destination to and from existing activity centers throughout the region, this roadway has become on",Roadway,"This project will widen SR 120 (Duluth Highway) from four to six lanes between Langley Drive and Lawrenceville Suwanee Road.  Serving points of origin and destination to and from existing activity centers throughout the region, this roadway has become on",1.7,Gwinnett,Northeast Subregion,No,Yes,No,No,No,Yes,No,Not identified as a line item in PLAN 2040,No,N/A,0,38400000,0,38400000,{C6345C22-6953-4165-B3FC-0D0B84A32311},
72,TIA-GW-056,SR 141 (Peachtree Parkway) from Peachtree Industrial Boulevard to Chattahoochee River - Widening,"This project will widen SR 141 (Peachtree Parkway) from four to six lanes between Peachtree Industrial Boulevard and the Chattahoochee River. Although this corridor is not designated as a Regional Truck Route, the southern section provides alternate acce",Roadway,"This project will widen Peachtree Parkway from four to six lanes between Peachtree Industrial Boulevard and the Chattahoochee River. Given its location in one of the most prominent freight and industrial corridors in the southeastern US, this project wil",4.2,Gwinnett,Northeast Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2031-2040,Yes,GW-374,0,46000000,0,46000000,{E227397E-C17E-4EF7-9371-EDC740633D0B},
73,TIA-GW-060,Sugarloaf Parkway Phase 2 Extension from SR 316 to SR 20 (Buford Drive) - New Alignment,This project extends Sugarloaf Parkway as a four-lane roadway about 8.5 miles from SR 316 to SR 20 south of the City of Buford. The project would provide a limited-access route to reduce local traffic congestion in surrounding communities and commuter tr,Roadway,This project extends Sugarloaf Parkway as a four-lane roadway about 8.5 miles from SR 316 to SR 20 south of the City of Buford. The project would provide a limited-access route to reduce local traffic congestion in surrounding communities and commuter tr,8.5,Gwinnett,Northeast Subregion,No,Yes,Yes,Yes,Yes,No,No,Project identified as a line item in PLAN 2040 with construction planned for 2018-2030,No,GW-308B,0,296000000,0,296000000,{33500516-BA91-44C4-B2F7-AB2DB67D673A},
74,TIA-GW-030,US 29 (Lawrenceville Hwy) from Hood Road to Hillcrest Road - Multiuse Trail and Pedestrian Improvements,This project will create a more continuous pedestrian and bicycling network along Lawrenceville Highway between Hood Road and Hillcrest Road.  The inventory of sidewalks and trails in the area shows that while there are a good number of existing and plan,Bike/Ped,This project will create a more continuous pedestrian and bicycling network along Lawrenceville Highway between Hood Road and Hillcrest Road.  The inventory of sidewalks and trails in the area shows that while there are a good number of existing and plan,0.6,Gwinnett,Northeast Subregion,No,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on expanding modal options",No,N/A,0,1850000,0,1850000,{F2977994-4026-47CF-B526-D148A3451D66},
75,TIA-DO-009,Dorris Road Multiuse Path Phase 1 - Transportation Center to Prestley Mill Road,"This project is Phase I of a 10' wide multi-use path linking the Douglas County Multi-modal Transportation Center to Prestley Mill Road.  The project will be on the old Dorris Road bed alignment.  The path will connect West Central Technical College, the",Bike/Ped,This project will be Phase I of a 10-foot multi-use path going to the Douglas County Multimodal Transportation Center then to Prestley Mill Road. The project will be on the old Dorris Road bed alignment from Prestley Mill Road to the Transportation Cente,0.4,Douglas,West Subregion,No,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on expanding modal options",No,N/A,0,650000,0,650000,{7988EAC1-CD32-45F4-A0E3-7B2453890901},
76,TIA-DO-010,Dorris Road Multiuse Path Phase 2 - Prestley Mill Road from I-20 West to Slater Mill Road,"This project will be Phase II of 10' wide multi-use path going to the Douglas County Multi-modal Transportation Center.  The project will follow Prestley Mill Road from I-20 to Slater Mill Road.  The path will connect West Central Technical College, the",Bike/Ped,This project will be Phase II of a 10-foot multi-use path going to the Douglas County Multimodal Transportation Center along Prestley Mill Road from I-20 West to Slater Mill Road.  Included in the City of Douglasville’s Bicycle and Pedestrian Plan and Pr,1.4,Douglas,West Subregion,No,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on expanding modal options",No,N/A,0,2210000,0,2210000,{E8F54036-6918-4C9A-B2B2-0ABA297FD6CA},
